model,dataset,method,bin,n,mean_probability,accuracy
TeRDy,ICEWS14,Uncalibrated,0,820,0.0514143498624085,0.11463414634146342
TeRDy,ICEWS14,Uncalibrated,1,1256,0.1505667738138903,0.17595541401273884
TeRDy,ICEWS14,Uncalibrated,2,1197,0.25122874909396725,0.3132832080200501
TeRDy,ICEWS14,Uncalibrated,3,1320,0.3491733737162869,0.4015151515151515
TeRDy,ICEWS14,Uncalibrated,4,1377,0.45054459193612517,0.5163398692810458
TeRDy,ICEWS14,Uncalibrated,5,1259,0.5504988026516954,0.585385226370135
TeRDy,ICEWS14,Uncalibrated,6,1281,0.6501598188955083,0.6510538641686182
TeRDy,ICEWS14,Uncalibrated,7,1481,0.7519108818361052,0.7116812964213369
TeRDy,ICEWS14,Uncalibrated,8,2137,0.8586954180515846,0.8006551240056153
TeRDy,ICEWS14,Uncalibrated,9,2872,0.9616235259712491,0.862116991643454
TeRDy,ICEWS14,Calibrated,0,185,0.07132230300846304,0.06486486486486487
TeRDy,ICEWS14,Calibrated,1,1490,0.1560331734361321,0.14563758389261744
TeRDy,ICEWS14,Calibrated,2,1629,0.25045830666333657,0.23572744014732966
TeRDy,ICEWS14,Calibrated,3,1294,0.34741947339957596,0.3701700154559505
TeRDy,ICEWS14,Calibrated,4,1159,0.4489631369296195,0.4469370146678171
TeRDy,ICEWS14,Calibrated,5,1072,0.5503576194675435,0.5373134328358209
TeRDy,ICEWS14,Calibrated,6,1291,0.6514407931092971,0.6150271107668474
TeRDy,ICEWS14,Calibrated,7,2396,0.7524703736776331,0.7520868113522537
TeRDy,ICEWS14,Calibrated,8,2863,0.8434114588158417,0.8498078938176737
TeRDy,ICEWS14,Calibrated,9,1621,0.9241878749575987,0.9426280074028378
TeRDy,ICEWS05-15,Uncalibrated,0,600,0.060584327358258215,0.14166666666666666
TeRDy,ICEWS05-15,Uncalibrated,1,1895,0.15237769809233748,0.19366754617414247
TeRDy,ICEWS05-15,Uncalibrated,2,2366,0.2505076910332028,0.2890955198647506
TeRDy,ICEWS05-15,Uncalibrated,3,2005,0.3492899738229811,0.45486284289276807
TeRDy,ICEWS05-15,Uncalibrated,4,1714,0.44907566966260876,0.5297549591598599
TeRDy,ICEWS05-15,Uncalibrated,5,1530,0.5503270960120954,0.6542483660130719
TeRDy,ICEWS05-15,Uncalibrated,6,1425,0.6506326420966322,0.7326315789473684
TeRDy,ICEWS05-15,Uncalibrated,7,1442,0.7490428616357651,0.8467406380027739
TeRDy,ICEWS05-15,Uncalibrated,8,1272,0.8496266509248473,0.8915094339622641
TeRDy,ICEWS05-15,Uncalibrated,9,751,0.9394809483144503,0.9600532623169108
TeRDy,ICEWS05-15,Calibrated,0,137,0.08713141370282626,0.12408759124087591
TeRDy,ICEWS05-15,Calibrated,1,2318,0.15733304783577784,0.1643658326143227
TeRDy,ICEWS05-15,Calibrated,2,2215,0.24684568586199132,0.2966139954853273
TeRDy,ICEWS05-15,Calibrated,3,1672,0.3485443619872068,0.42404306220095694
TeRDy,ICEWS05-15,Calibrated,4,1353,0.45030716008588906,0.5151515151515151
TeRDy,ICEWS05-15,Calibrated,5,1252,0.5497823969510734,0.5630990415335463
TeRDy,ICEWS05-15,Calibrated,6,1177,0.6514440275874803,0.6669498725573492
TeRDy,ICEWS05-15,Calibrated,7,1410,0.7516788655400068,0.7361702127659574
TeRDy,ICEWS05-15,Calibrated,8,2120,0.8532334765460778,0.8627358490566037
TeRDy,ICEWS05-15,Calibrated,9,1346,0.9237703451793955,0.9353640416047548
TemporalComplEx,ICEWS14,Uncalibrated,0,4359,0.017187217966603982,0.22046340903877035
TemporalComplEx,ICEWS14,Uncalibrated,1,1499,0.15359118244684547,0.17745163442294865
TemporalComplEx,ICEWS14,Uncalibrated,2,1831,0.24934646964916032,0.2577826324412889
TemporalComplEx,ICEWS14,Uncalibrated,3,1692,0.3496102352311126,0.34278959810874704
TemporalComplEx,ICEWS14,Uncalibrated,4,1345,0.4461409918086764,0.4029739776951673
TemporalComplEx,ICEWS14,Uncalibrated,5,1622,0.5281306658478263,0.5246609124537608
TemporalComplEx,ICEWS14,Uncalibrated,6,638,0.6467552854671168,0.5564263322884012
TemporalComplEx,ICEWS14,Uncalibrated,7,1904,0.7511980803127978,0.5189075630252101
TemporalComplEx,ICEWS14,Uncalibrated,8,93,0.8340324037070079,0.8172043010752689
TemporalComplEx,ICEWS14,Uncalibrated,9,17,0.9358784515989743,0.9411764705882353
TemporalComplEx,ICEWS14,Calibrated,0,139,0.08522428665368588,0.10071942446043165
TemporalComplEx,ICEWS14,Calibrated,1,6129,0.17328435537425535,0.18746940773372492
TemporalComplEx,ICEWS14,Calibrated,2,2749,0.24694492403585774,0.26882502728264823
TemporalComplEx,ICEWS14,Calibrated,3,2232,0.33911970000002145,0.3517025089605735
TemporalComplEx,ICEWS14,Calibrated,4,732,0.4492787968207855,0.46311475409836067
TemporalComplEx,ICEWS14,Calibrated,5,597,0.5479242500035614,0.490787269681742
TemporalComplEx,ICEWS14,Calibrated,6,614,0.6495851175833004,0.6237785016286646
TemporalComplEx,ICEWS14,Calibrated,7,809,0.7568267425745724,0.7045735475896168
TemporalComplEx,ICEWS14,Calibrated,8,881,0.8415371317144565,0.8206583427922814
TemporalComplEx,ICEWS14,Calibrated,9,118,0.9186304113252872,0.9491525423728814
TemporalComplEx,ICEWS05-15,Uncalibrated,0,1268,0.03360109225771383,0.24842271293375395
TemporalComplEx,ICEWS05-15,Uncalibrated,1,1048,0.15654269441060187,0.18893129770992367
TemporalComplEx,ICEWS05-15,Uncalibrated,2,1770,0.25117163353769956,0.22090395480225988
TemporalComplEx,ICEWS05-15,Uncalibrated,3,1744,0.35159519124280897,0.29759174311926606
TemporalComplEx,ICEWS05-15,Uncalibrated,4,1867,0.4515735581121432,0.36743438671665773
TemporalComplEx,ICEWS05-15,Uncalibrated,5,2131,0.5349778226691732,0.4533083059596434
TemporalComplEx,ICEWS05-15,Uncalibrated,6,1147,0.6507757741012967,0.5065387968613775
TemporalComplEx,ICEWS05-15,Uncalibrated,7,2583,0.7513354869436428,0.445993031358885
TemporalComplEx,ICEWS05-15,Uncalibrated,8,806,0.8454773133840936,0.7468982630272953
TemporalComplEx,ICEWS05-15,Uncalibrated,9,636,0.9549972375796958,0.7578616352201258
TemporalComplEx,ICEWS05-15,Calibrated,0,159,0.0831779791530864,0.1509433962264151
TemporalComplEx,ICEWS05-15,Calibrated,1,2696,0.16236190529940905,0.16283382789317508
TemporalComplEx,ICEWS05-15,Calibrated,2,4848,0.24346281452775903,0.2334983498349835
TemporalComplEx,ICEWS05-15,Calibrated,3,1830,0.34272158120228796,0.3448087431693989
TemporalComplEx,ICEWS05-15,Calibrated,4,1199,0.44670224052421625,0.493744787322769
TemporalComplEx,ICEWS05-15,Calibrated,5,867,0.5495334676027446,0.532871972318339
TemporalComplEx,ICEWS05-15,Calibrated,6,873,0.64867013066365,0.6620847651775487
TemporalComplEx,ICEWS05-15,Calibrated,7,902,0.7545046417363827,0.753880266075388
TemporalComplEx,ICEWS05-15,Calibrated,8,1228,0.8477578886487754,0.8029315960912052
