model,dataset,seed,selector,endpoint,coverage,risk
TeRDy,ICEWS14,0,Best control,error,0.02,0.01
TeRDy,ICEWS14,0,Best control,error,0.03,0.006666666666666667
TeRDy,ICEWS14,0,Best control,error,0.04,0.02
TeRDy,ICEWS14,0,Best control,error,0.05,0.016
TeRDy,ICEWS14,0,Best control,error,0.06,0.02666666666666667
TeRDy,ICEWS14,0,Best control,error,0.07,0.02857142857142857
TeRDy,ICEWS14,0,Best control,error,0.08,0.035
TeRDy,ICEWS14,0,Best control,error,0.09000000000000001,0.03777777777777778
TeRDy,ICEWS14,0,Best control,error,0.1,0.038
TeRDy,ICEWS14,0,Best control,error,0.11,0.034545454545454546
TeRDy,ICEWS14,0,Best control,error,0.12000000000000001,0.04
TeRDy,ICEWS14,0,Best control,error,0.13,0.046153846153846156
TeRDy,ICEWS14,0,Best control,error,0.13999999999999999,0.05150214592274678
TeRDy,ICEWS14,0,Best control,error,0.15,0.05733333333333333
TeRDy,ICEWS14,0,Best control,error,0.16,0.065
TeRDy,ICEWS14,0,Best control,error,0.16999999999999998,0.06595995288574794
TeRDy,ICEWS14,0,Best control,error,0.18,0.06888888888888889
TeRDy,ICEWS14,0,Best control,error,0.19,0.07578947368421053
TeRDy,ICEWS14,0,Best control,error,0.19999999999999998,0.07707707707707707
TeRDy,ICEWS14,0,Best control,error,0.21,0.07714285714285714
TeRDy,ICEWS14,0,Best control,error,0.22,0.07909090909090909
TeRDy,ICEWS14,0,Best control,error,0.22999999999999998,0.0782608695652174
TeRDy,ICEWS14,0,Best control,error,0.24,0.08
TeRDy,ICEWS14,0,Best control,error,0.25,0.0816
TeRDy,ICEWS14,0,Best control,error,0.26,0.08076923076923077
TeRDy,ICEWS14,0,Best control,error,0.27,0.08222222222222222
TeRDy,ICEWS14,0,Best control,error,0.28,0.08714285714285715
TeRDy,ICEWS14,0,Best control,error,0.29000000000000004,0.09034482758620689
TeRDy,ICEWS14,0,Best control,error,0.30000000000000004,0.09733333333333333
TeRDy,ICEWS14,0,Best control,error,0.31,0.09935483870967741
TeRDy,ICEWS14,0,Best control,error,0.32,0.10375
TeRDy,ICEWS14,0,Best control,error,0.33,0.10606060606060606
TeRDy,ICEWS14,0,Best control,error,0.34,0.10882352941176471
TeRDy,ICEWS14,0,Best control,error,0.35000000000000003,0.112
TeRDy,ICEWS14,0,Best control,error,0.36000000000000004,0.115
TeRDy,ICEWS14,0,Best control,error,0.37000000000000005,0.11945945945945946
TeRDy,ICEWS14,0,Best control,error,0.38,0.12105263157894737
TeRDy,ICEWS14,0,Best control,error,0.39,0.12410256410256411
TeRDy,ICEWS14,0,Best control,error,0.4,0.1275
TeRDy,ICEWS14,0,Best control,error,0.41000000000000003,0.12975609756097561
TeRDy,ICEWS14,0,Best control,error,0.42000000000000004,0.1319047619047619
TeRDy,ICEWS14,0,Best control,error,0.43000000000000005,0.13348837209302325
TeRDy,ICEWS14,0,Best control,error,0.44,0.13954545454545456
TeRDy,ICEWS14,0,Best control,error,0.45,0.14266666666666666
TeRDy,ICEWS14,0,Best control,error,0.46,0.14739130434782607
TeRDy,ICEWS14,0,Best control,error,0.47000000000000003,0.15063829787234043
TeRDy,ICEWS14,0,Best control,error,0.48000000000000004,0.15708333333333332
TeRDy,ICEWS14,0,Best control,error,0.49000000000000005,0.16122448979591836
TeRDy,ICEWS14,0,Best control,error,0.5,0.164
TeRDy,ICEWS14,0,Best control,error,0.51,0.16823529411764707
TeRDy,ICEWS14,0,Best control,error,0.52,0.17461538461538462
TeRDy,ICEWS14,0,Best control,error,0.53,0.18037735849056605
TeRDy,ICEWS14,0,Best control,error,0.54,0.1862962962962963
TeRDy,ICEWS14,0,Best control,error,0.55,0.19163636363636363
TeRDy,ICEWS14,0,Best control,error,0.56,0.19357142857142856
TeRDy,ICEWS14,0,Best control,error,0.5700000000000001,0.19649122807017544
TeRDy,ICEWS14,0,Best control,error,0.5800000000000001,0.2013793103448276
TeRDy,ICEWS14,0,Best control,error,0.5900000000000001,0.2047457627118644
TeRDy,ICEWS14,0,Best control,error,0.6,0.20666666666666667
TeRDy,ICEWS14,0,Best control,error,0.61,0.21147540983606558
TeRDy,ICEWS14,0,Best control,error,0.62,0.2170967741935484
TeRDy,ICEWS14,0,Best control,error,0.63,0.2219047619047619
TeRDy,ICEWS14,0,Best control,error,0.64,0.226875
TeRDy,ICEWS14,0,Best control,error,0.65,0.2323076923076923
TeRDy,ICEWS14,0,Best control,error,0.66,0.23606060606060605
TeRDy,ICEWS14,0,Best control,error,0.67,0.24
TeRDy,ICEWS14,0,Best control,error,0.68,0.245
TeRDy,ICEWS14,0,Best control,error,0.6900000000000001,0.25043478260869567
TeRDy,ICEWS14,0,Best control,error,0.7000000000000001,0.2537142857142857
TeRDy,ICEWS14,0,Best control,error,0.7100000000000001,0.2588732394366197
TeRDy,ICEWS14,0,Best control,error,0.7200000000000001,0.26472222222222225
TeRDy,ICEWS14,0,Best control,error,0.73,0.2704109589041096
TeRDy,ICEWS14,0,Best control,error,0.74,0.2754054054054054
TeRDy,ICEWS14,0,Best control,error,0.75,0.2816
TeRDy,ICEWS14,0,Best control,error,0.76,0.28710526315789475
TeRDy,ICEWS14,0,Best control,error,0.77,0.29298701298701296
TeRDy,ICEWS14,0,Best control,error,0.78,0.29923076923076924
TeRDy,ICEWS14,0,Best control,error,0.79,0.3032911392405063
TeRDy,ICEWS14,0,Best control,error,0.8,0.30825
TeRDy,ICEWS14,0,Best control,error,0.81,0.3135802469135803
TeRDy,ICEWS14,0,Best control,error,0.8200000000000001,0.31902439024390244
TeRDy,ICEWS14,0,Best control,error,0.8300000000000001,0.3236144578313253
TeRDy,ICEWS14,0,Best control,error,0.8400000000000001,0.3283333333333333
TeRDy,ICEWS14,0,Best control,error,0.8500000000000001,0.3343529411764706
TeRDy,ICEWS14,0,Best control,error,0.86,0.3397674418604651
TeRDy,ICEWS14,0,Best control,error,0.87,0.34551724137931034
TeRDy,ICEWS14,0,Best control,error,0.88,0.3506818181818182
TeRDy,ICEWS14,0,Best control,error,0.89,0.3550561797752809
TeRDy,ICEWS14,0,Best control,error,0.9,0.36088888888888887
TeRDy,ICEWS14,0,Best control,error,0.91,0.36637362637362636
TeRDy,ICEWS14,0,Best control,error,0.92,0.3726086956521739
TeRDy,ICEWS14,0,Best control,error,0.93,0.37763440860215053
TeRDy,ICEWS14,0,Best control,error,0.9400000000000001,0.3829787234042553
TeRDy,ICEWS14,0,Best control,error,0.9500000000000001,0.3875789473684211
TeRDy,ICEWS14,0,Best control,error,0.9600000000000001,0.39229166666666665
TeRDy,ICEWS14,0,Best control,error,0.9700000000000001,0.3977319587628866
TeRDy,ICEWS14,0,Best control,error,0.98,0.4030612244897959
TeRDy,ICEWS14,0,Best control,error,0.99,0.4088888888888889
TeRDy,ICEWS14,0,Best control,error,1.0,0.4146
TeRDy,ICEWS14,0,Best control,worst_flip1,0.02,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.03,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.04,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.05,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.06,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.07,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.08,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.09000000000000001,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.1,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.11,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.12000000000000001,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.13,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.13999999999999999,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.15,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.16,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.16999999999999998,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.18,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.19,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.19999999999999998,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.21,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.22,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.22999999999999998,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.24,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.25,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.26,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.27,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.28,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.29000000000000004,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.30000000000000004,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.31,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.32,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.33,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.34,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.35000000000000003,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.36000000000000004,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.37000000000000005,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.38,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.39,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.4,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.41000000000000003,0.0
TeRDy,ICEWS14,0,Best control,worst_flip1,0.42000000000000004,0.0
