model,dataset,supported_queries,exact_coverage,bound_coverage,probes,false_safe_among_passed
TeRDy,ICEWS14,3556,0.9881889763779528,0.9637232845894264,8,0.0005688282138794084
TeRDy,ICEWS14,3556,0.9881889763779528,0.9637232845894264,32,0.0002844950213371266
TeRDy,ICEWS14,3556,0.9881889763779528,0.9637232845894264,64,0.0
TeRDy,ICEWS05-15,4335,0.92479815455594,0.803921568627451,8,0.02646915978630403
TeRDy,ICEWS05-15,4335,0.92479815455594,0.803921568627451,32,0.01231830500123183
TeRDy,ICEWS05-15,4335,0.92479815455594,0.803921568627451,64,0.006689791873141724
TemporalComplEx,ICEWS14,3556,0.40663667041619805,0.3838582677165354,8,0.21069868995633187
TemporalComplEx,ICEWS14,3556,0.40663667041619805,0.3838582677165354,32,0.0398406374501992
TemporalComplEx,ICEWS14,3556,0.40663667041619805,0.3838582677165354,64,0.015656909462219197
TemporalComplEx,ICEWS05-15,4335,0.4936562860438293,0.4687427912341407,8,0.3193384223918575
TemporalComplEx,ICEWS05-15,4335,0.4936562860438293,0.4687427912341407,32,0.18600228223659185
TemporalComplEx,ICEWS05-15,4335,0.4936562860438293,0.4687427912341407,64,0.11350455675227837
