weight,mrr,robust,model,dataset
0.0,0.6641440822679915,1.0,TeRDy,ICEWS14
0.1,0.6628288268239448,0.9916,TeRDy,ICEWS14
0.25,0.6604657087453072,0.971,TeRDy,ICEWS14
0.5,0.6424579707817439,0.827,TeRDy,ICEWS14
0.75,0.6035202863136222,0.6842,TeRDy,ICEWS14
0.0,0.6364425761281394,1.0,TeRDy,ICEWS05-15
0.1,0.6433523718494055,0.9348,TeRDy,ICEWS05-15
0.25,0.6356257635569271,0.8114,TeRDy,ICEWS05-15
0.5,0.6064721118860664,0.6332,TeRDy,ICEWS05-15
0.75,0.5733997458793733,0.5574,TeRDy,ICEWS05-15
0.0,0.3635697028492188,1.0,TemporalComplEx,ICEWS14
0.1,0.42553269934944,0.74,TemporalComplEx,ICEWS14
0.25,0.43030864845605654,0.6728,TemporalComplEx,ICEWS14
0.5,0.430065827084181,0.6098,TemporalComplEx,ICEWS14
0.75,0.4287596571054025,0.578,TemporalComplEx,ICEWS14
0.0,0.4548822753122919,1.0,TemporalComplEx,ICEWS05-15
0.1,0.4741125524871858,0.983,TemporalComplEx,ICEWS05-15
0.25,0.48369274365523635,0.9228,TemporalComplEx,ICEWS05-15
0.5,0.49888927812879086,0.6882,TemporalComplEx,ICEWS05-15
0.75,0.5033751977002157,0.561,TemporalComplEx,ICEWS05-15
