dataset,batch,repeat,kind,max_abs_error,full_elapsed_ms,full_write_ms,full_refresh_ms,full_affected,full_refreshed,incremental_elapsed_ms,incremental_write_ms,incremental_refresh_ms,incremental_affected,incremental_refreshed
ICEWS14,1,0,delete,0.0,1388.1810000020778,0.0534999999217689,1388.127500002156,1,5000,0.4027999966638163,0.1568000006955117,0.2459999959683045,1,1
ICEWS14,1,0,restore,0.0,1332.7379999973346,0.0595999881625175,1332.678400009172,1,5000,0.2677999873412773,0.09479999425821,0.1729999930830672,1,1
ICEWS14,1,1,delete,0.0,1257.2268999938387,0.0042999890865758,1257.2226000047522,0,5000,0.0048999936552718,0.004000001354143,0.0008999923011288,0,0
ICEWS14,1,1,restore,0.0,1409.0197999903469,0.0060999882407486,1409.013700002106,0,5000,0.0064999912865459,0.0052999967010691,0.0011999945854768,0,0
ICEWS14,1,2,delete,0.0,1298.698800004786,0.0022000021999701,1298.696600002586,0,5000,0.0056999997468665,0.0044999906094744,0.001200009137392,0,0
ICEWS14,1,2,restore,0.0,1281.613400002243,0.0021000014385208,1281.6113000008045,0,5000,0.0051000097300857,0.0042000028770416,0.000900006853044,0,0
ICEWS14,1,3,delete,0.0,1387.7542999980506,0.1473000011174008,1387.6069999969332,1,5000,0.7181999972090125,0.1339999871561303,0.5842000100528821,1,1
ICEWS14,1,3,restore,0.0,1345.757600007346,0.1083000097423791,1345.6492999976035,1,5000,0.2957999968202784,0.0667999993311241,0.2289999974891543,1,1
ICEWS14,1,4,delete,0.0,1146.994700000505,0.0014000106602907,1146.993299989845,0,5000,0.0039000005926936,0.0029999937396496,0.000900006853044,0,0
ICEWS14,1,4,restore,0.0,1375.657600001432,0.0031000090530142,1375.654499992379,0,5000,0.0083999912021681,0.0066999928094446,0.0016999983927235,0,0
ICEWS14,1,5,delete,0.0,1332.8263000003062,0.0061000027926638,1332.8201999975136,0,5000,0.0059000012697651,0.0051999959396198,0.0007000053301453,0,0
ICEWS14,1,5,restore,0.0,1300.656599996728,0.0050999951781705,1300.6515000015495,0,5000,0.0063000043155625,0.0055999989854171,0.0007000053301453,0,0
ICEWS14,1,6,delete,0.0,1287.9920999985188,0.0024000037228688,1287.989699994796,0,5000,0.004900008207187,0.0042000028770416,0.0007000053301453,0,0
ICEWS14,1,6,restore,0.0,1247.2078999999212,0.0025999906938523,1247.2053000092274,0,5000,0.00739999813959,0.0054999982239678,0.0018999999156221,0,0
ICEWS14,1,7,delete,0.0,1261.784100002842,0.0050999951781705,1261.779000007664,0,5000,0.0050999951781705,0.0041999883251264,0.000900006853044,0,0
ICEWS14,1,7,restore,0.0,1268.5059000068577,0.0039000005926936,1268.502000006265,0,5000,0.0075999996624886,0.0064999912865459,0.0011000083759427,0,0
ICEWS14,1,8,delete,0.0,1368.6482000048272,0.0034000113373622,1368.64479999349,0,5000,0.006799993570894,0.0049999944167211,0.0017999991541728,0,0
ICEWS14,1,8,restore,0.0,1272.0379999955185,0.0029999937396496,1272.0350000017788,0,5000,0.0087999942479655,0.0072999973781406,0.0014999968698248,0,0
ICEWS14,1,9,delete,0.0,1335.521200002404,0.0052999967010691,1335.5159000057029,0,5000,0.0085999927250668,0.0068999943323433,0.0016999983927235,0,0
ICEWS14,1,9,restore,0.0,1259.0269000065746,0.0054999982239678,1259.0214000083506,0,5000,0.0058000005083158,0.0048000074457377,0.0009999930625781,0,0
ICEWS14,10,0,delete,0.0,1460.0881999940611,0.2493999927537515,1459.8388000013074,2,5000,1.2196000025141984,0.264899994363077,0.9547000081511214,2,2
ICEWS14,10,0,restore,0.0,1358.3742000046186,0.1960000081453472,1358.1781999964733,2,5000,0.7889999978942797,0.2193999971495941,0.5696000007446855,2,2
ICEWS14,10,1,delete,0.0,1312.8558000025805,0.5726999952457845,1312.2831000073347,12,5000,3.0690999992657453,0.5141000001458451,2.5549999991199,12,12
ICEWS14,10,1,restore,0.0,1244.7706000093604,1.1279000027570871,1243.6427000066033,12,5000,2.805899988743477,1.0069999989354983,1.7988999898079785,12,12
ICEWS14,10,2,delete,0.0,1435.947900012252,0.2720000047702342,1435.6759000074817,8,5000,4.236199994920753,0.3223999956389889,3.913799999281764,8,8
ICEWS14,10,2,restore,0.0,1228.3478000026662,0.3185000095982104,1228.029299993068,8,5000,6.973999988986179,0.7575999916298315,6.216399997356348,8,8
ICEWS14,10,3,delete,0.0,1341.4151000033598,0.3496999997878447,1341.065400003572,7,5000,1.630200000363402,0.36450001061894,1.265699989744462,7,7
ICEWS14,10,3,restore,0.0,1191.4259000041056,0.3594000008888542,1191.0665000032168,7,5000,2.1779999951832,0.447900005383417,1.7300999897997826,7,7
ICEWS14,10,4,delete,0.0,1418.6103000101866,0.3746000002138316,1418.2357000099728,10,5000,3.096699991147034,0.4284000024199486,2.6682999887270853,10,10
ICEWS14,10,4,restore,0.0,1352.4576000054367,0.873700002557598,1351.583900002879,10,5000,7.625700003700331,1.1176999978488311,6.5080000058515,10,10
ICEWS14,10,5,delete,0.0,1382.205599991721,0.7842999912099913,1381.421300000511,6,5000,1.1797000042861328,0.3100000030826777,0.869700001203455,6,6
ICEWS14,10,5,restore,0.0,1321.5332999970997,0.2670999965630471,1321.2662000005366,6,5000,1.1895000061485916,0.2990999928442761,0.8904000133043155,6,6
ICEWS14,10,6,delete,0.0,1352.6831999915885,3.057599999010563,1349.625599992578,32,5000,19.35930000036024,3.4048999950755388,15.954400005284697,32,32
ICEWS14,10,6,restore,0.0,1241.5480999916326,5.2235999901313335,1236.3245000015013,32,5000,8.25470000563655,1.8434999947203323,6.411200010916218,32,32
ICEWS14,10,7,delete,0.0,1345.1151000044774,0.570399992284365,1344.544700012193,7,5000,1.6486999957123771,0.3768000024138018,1.2718999932985753,7,7
ICEWS14,10,7,restore,0.0,1348.8745000067863,0.3675000043585896,1348.507000002428,7,5000,1.5063000028021634,0.338400001055561,1.1679000017466024,7,7
ICEWS14,10,8,delete,0.0,1210.7075999956578,0.1564999984111637,1210.5510999972466,3,5000,0.67710000439547,0.1773999974830076,0.4997000069124624,3,3
ICEWS14,10,8,restore,0.0,1212.1210000041174,0.4758000141009688,1211.6451999900164,3,5000,1.7701000033412129,0.6296999927144498,1.140400010626763,3,3
ICEWS14,10,9,delete,0.0,1432.3143999936292,1.5773999912198633,1430.737000002409,29,5000,20.04220000526402,2.7064000023528934,17.335800002911128,29,29
ICEWS14,10,9,restore,0.0,1451.678900004481,1.99419999262318,1449.6847000118578,29,5000,14.642299996921793,1.7162000003736466,12.926099996548146,29,29
ICEWS14,100,0,delete,0.0,1332.7021000004606,8.386799992877059,1324.3153000075836,137,5000,52.73799999849871,8.23340000351891,44.5045999949798,137,137
ICEWS14,100,0,restore,0.0,1387.7107000007527,14.774299997952768,1372.9364000028,137,5000,72.19849999819417,9.052699999301694,63.14579999889247,137,137
ICEWS14,100,1,delete,0.0,1428.9082000032067,7.032300010905601,1421.8758999923011,77,5000,31.073300007847138,5.378100002417341,25.6952000054298,77,77
ICEWS14,100,1,restore,0.0,1313.8136000052327,5.370700004277751,1308.442900000955,77,5000,31.146599998464808,4.846199997700751,26.300400000764057,77,77
ICEWS14,100,2,delete,0.0,1376.205699998536,5.645099998218939,1370.5606000003172,96,5000,47.42490001081024,9.60000000486616,37.82490000594407,96,96
ICEWS14,100,2,restore,0.0,1578.169300002628,8.106699999189004,1570.062600003439,96,5000,45.07659999944735,11.929600004805252,33.1469999946421,96,96
ICEWS14,100,3,delete,0.0,1402.0095000014408,9.0601000119932,1392.9493999894476,77,5000,25.88600000308361,4.353399999672547,21.532600003411066,77,77
ICEWS14,100,3,restore,0.0,1243.5714999883205,3.3564999903319404,1240.2149999979883,77,5000,28.185599992866628,3.3531999943079427,24.832399998558685,77,77
ICEWS14,100,4,delete,0.0,1433.9790000085486,10.34760000766255,1423.631400000886,135,5000,60.01059999107383,5.543899998883717,54.46669999219012,135,135
ICEWS14,100,4,restore,0.0,1336.3682000053814,14.435700009926222,1321.9324999954551,135,5000,79.55939999374095,15.810600001714192,63.74879999202676,135,135
ICEWS14,100,5,delete,0.0,1479.97720001149,6.892300007166341,1473.0849000043236,117,5000,57.38159999600612,6.814799999119714,50.5667999968864,117,117
ICEWS14,100,5,restore,0.0,1246.5078999957768,12.49429999734275,1234.013599998434,117,5000,47.889900000882335,11.12999999895692,36.759900001925416,117,117
ICEWS14,100,6,delete,0.0,1321.5977999934694,11.95640000514686,1309.6413999883223,146,5000,48.65749999589752,7.733200007351115,40.92429998854641,146,146
ICEWS14,100,6,restore,0.0,1396.285099996021,15.330900001572443,1380.9541999944486,146,5000,67.55180000618566,8.121000006212853,59.430799999972805,146,146
ICEWS14,100,7,delete,0.0,1230.539600001066,7.992800005013123,1222.5467999960529,102,5000,37.29199999361299,6.351899995934218,30.94009999767877,102,102
ICEWS14,100,7,restore,0.0,1502.1548999939114,8.767399995122105,1493.3874999987893,102,5000,38.31000000354834,6.457700001192279,31.85230000235606,102,102
ICEWS14,100,8,delete,0.0,1259.1774000029543,9.681000010459684,1249.4963999924948,124,5000,67.1112000127323,12.871300001279453,54.239900011452846,124,124
ICEWS14,100,8,restore,0.0,1170.0809000030858,7.95990000187885,1162.121000001207,124,5000,49.32720000215341,7.398500005365349,41.928699996788055,124,124
ICEWS14,100,9,delete,0.0,1513.687899991055,17.157299997052178,1496.5305999940028,148,5000,60.956800007261336,14.750000002095476,46.20680000516586,148,148
ICEWS14,100,9,restore,0.0,1475.3842000063742,20.13810000789817,1455.246099998476,148,5000,82.61549999588169,15.978800001903435,66.63669999397825,148,148
ICEWS14,1000,0,delete,0.0,1277.8486000024714,62.15189999784343,1215.696700004628,740,5000,317.9417000064859,76.54949999414384,241.39220001234207,740,740
