dataset,ablation,target,risk,coverage,threshold
GDELT,belief_only,0.2,0.7565130260521042,0.1996,0.14662794021898778
GDELT,belief_only,0.4,0.7967757694186615,0.4094,0.12142947710791792
GDELT,belief_only,0.6,0.8199933576884756,0.6022,0.11348217107149315
GDELT,belief_only,0.8,0.8433524569718134,0.8018,0.10909675192542137
GDELT,plus_certificate,0.2,0.758220502901354,0.2068,0.1535939368512515
GDELT,plus_certificate,0.4,0.8061325420375866,0.4044,0.11973906231460096
GDELT,plus_certificate,0.6,0.820836098208361,0.6028,0.10980209168199594
GDELT,plus_certificate,0.8,0.8433915211970074,0.802,0.10649410437963862
GDELT,plus_diversity,0.2,0.7544031311154599,0.2044,0.15085201268487453
GDELT,plus_diversity,0.4,0.8051307350764677,0.4054,0.12956982603813527
GDELT,plus_diversity,0.6,0.8275862068965517,0.5974,0.1130876036417685
GDELT,plus_diversity,0.8,0.8488955823293173,0.7968,0.10169745091116124
GDELT,plus_fragility,0.2,0.7509803921568627,0.204,0.15251440866070823
GDELT,plus_fragility,0.4,0.8058589870903674,0.4028,0.13011750777121978
GDELT,plus_fragility,0.6,0.8291117865585951,0.5922,0.11279382609895001
GDELT,plus_fragility,0.8,0.8497983870967742,0.7936,0.10017007598199229
GDELT,full_certificate,0.2,0.7093596059113301,0.203,0.18550865423381627
GDELT,full_certificate,0.4,0.7680387409200968,0.413,0.141358238918861
GDELT,full_certificate,0.6,0.797832712495767,0.5906,0.11601834842083103
GDELT,full_certificate,0.8,0.832994923857868,0.788,0.07917697851517685
