dataset,ablation,target,risk,coverage,threshold
ICEWS05-15,belief_only,0.2,0.38784067085953877,0.1908,0.3466418151943122
ICEWS05-15,belief_only,0.4,0.46165966386554624,0.3808,0.2902480575360536
ICEWS05-15,belief_only,0.6,0.5495896032831737,0.5848,0.26321080773288646
ICEWS05-15,belief_only,0.8,0.6094614997483644,0.7948,0.25354735811178797
ICEWS05-15,plus_certificate,0.2,0.3579725448785639,0.1894,0.49398357628964734
ICEWS05-15,plus_certificate,0.4,0.44049459041731065,0.3882,0.2778469366408778
ICEWS05-15,plus_certificate,0.6,0.5285419532324622,0.5816,0.2682944871169611
ICEWS05-15,plus_certificate,0.8,0.6071967790639154,0.7948,0.2647565954250674
ICEWS05-15,plus_diversity,0.2,0.3582718651211802,0.1898,0.4940207016812615
ICEWS05-15,plus_diversity,0.4,0.4345818368394048,0.3898,0.2786032308426493
ICEWS05-15,plus_diversity,0.6,0.5321799307958478,0.578,0.2687255638118343
ICEWS05-15,plus_diversity,0.8,0.6068789808917198,0.785,0.26621478940056076
ICEWS05-15,plus_fragility,0.2,0.35084033613445376,0.1904,0.49937846617168924
ICEWS05-15,plus_fragility,0.4,0.4340687532067727,0.3898,0.28269159693647233
ICEWS05-15,plus_fragility,0.6,0.5563234277816171,0.5788,0.27423024647014543
ICEWS05-15,plus_fragility,0.8,0.6110686049477174,0.7842,0.25213776129308624
ICEWS05-15,full_certificate,0.2,0.31837606837606836,0.1872,0.5304183340135126
ICEWS05-15,full_certificate,0.4,0.43460350154479915,0.3884,0.34662161285331894
ICEWS05-15,full_certificate,0.6,0.5253487580809799,0.5878,0.261591265320566
ICEWS05-15,full_certificate,0.8,0.5968237704918032,0.7808,0.1598467971599865
