dataset,ablation,target,risk,coverage,threshold
ICEWS14,belief_only,0.2,0.46092184368737477,0.1996,0.269433457688054
ICEWS14,belief_only,0.4,0.543728135932034,0.4002,0.22255303458933426
ICEWS14,belief_only,0.6,0.6197794854660875,0.5986,0.1969708716292288
ICEWS14,belief_only,0.8,0.6557971014492754,0.7176,0.19062253256481151
ICEWS14,plus_certificate,0.2,0.44538706256627786,0.1886,0.4291953273514177
ICEWS14,plus_certificate,0.4,0.5263429752066116,0.3872,0.2598765321869329
ICEWS14,plus_certificate,0.6,0.6196339434276207,0.601,0.25518293223080885
ICEWS14,plus_certificate,0.8,0.6558061821219716,0.7182,0.06946109368906765
ICEWS14,plus_diversity,0.2,0.44714587737843553,0.1892,0.43048278176520427
ICEWS14,plus_diversity,0.4,0.5788675429726997,0.3956,0.25848366718507704
ICEWS14,plus_diversity,0.6,0.6145025295109612,0.593,0.25294714254406997
ICEWS14,plus_diversity,0.8,0.6558061821219716,0.7182,0.07142933348726463
ICEWS14,plus_fragility,0.2,0.4439608269858542,0.1838,0.4360585363006704
ICEWS14,plus_fragility,0.4,0.5349946977730647,0.3772,0.2679899356877757
ICEWS14,plus_fragility,0.6,0.6346738763095641,0.5918,0.25105806243634166
ICEWS14,plus_fragility,0.8,0.6558061821219716,0.7182,0.04926352120972237
ICEWS14,full_certificate,0.2,0.46229508196721314,0.183,0.47130336916752824
ICEWS14,full_certificate,0.4,0.5244536940686785,0.3844,0.28687255792637534
ICEWS14,full_certificate,0.6,0.610209601081812,0.5916,0.18711299219256047
ICEWS14,full_certificate,0.8,0.658089241719135,0.7306,0.011225416654761906
