dataset,ablation,metric,mean,ci_low,ci_high
ICEWS14,belief_only,aurc,0.568145482029181,0.5681447952418966,0.5681459307641112
ICEWS14,belief_only,risk@0.40,0.5446701791407773,0.5429113740138136,0.546428984267741
ICEWS14,plus_certificate,aurc,0.5589367729671625,0.5586619644523012,0.5591781002968003
ICEWS14,plus_certificate,risk@0.40,0.5301626047505362,0.5264989319709893,0.5340199926162901
ICEWS14,plus_diversity,aurc,0.56241140165161,0.5603510731516923,0.5648056202734546
ICEWS14,plus_diversity,risk@0.40,0.5558175635092242,0.5396471198808472,0.571912765617475
ICEWS14,plus_fragility,aurc,0.561961046957293,0.561448612777621,0.562228969016649
ICEWS14,plus_fragility,risk@0.40,0.5444062592009121,0.5385509478281487,0.5499881832857232
ICEWS14,full_certificate,aurc,0.5494049981231883,0.5487519680449469,0.5498246048236559
ICEWS14,full_certificate,risk@0.40,0.5308433174995251,0.5269767223947435,0.534257472100349
ICEWS05-15,belief_only,aurc,0.49596523365297485,0.4959576829440898,0.49597550163859266
ICEWS05-15,belief_only,risk@0.40,0.459706762257725,0.4550629786282584,0.46341310242011746
ICEWS05-15,plus_certificate,aurc,0.4788082046831848,0.47863652112656396,0.4790218298422819
ICEWS05-15,plus_certificate,risk@0.40,0.4426639357343264,0.44050116901085323,0.44627602567841906
ICEWS05-15,plus_diversity,aurc,0.4804298046761761,0.47927487498356036,0.4816884238204816
ICEWS05-15,plus_diversity,risk@0.40,0.43801199486008124,0.4313041471648562,0.4448082786511806
ICEWS05-15,plus_fragility,aurc,0.48470221854257717,0.48437865594697105,0.48493575769715136
ICEWS05-15,plus_fragility,risk@0.40,0.4312848912802266,0.42746056486667994,0.4351092176937733
ICEWS05-15,full_certificate,aurc,0.4668502173548609,0.46656313559923035,0.4671839009090949
ICEWS05-15,full_certificate,risk@0.40,0.4272004423627732,0.4227941666581166,0.4315743514929392
GDELT,belief_only,aurc,0.793209829627816,0.793209829627816,0.793209829627816
GDELT,belief_only,risk@0.40,0.7961363718635825,0.7954958597394748,0.7967768839876903
GDELT,plus_certificate,aurc,0.7935633931108204,0.7933365935850559,0.7938450718326513
GDELT,plus_certificate,risk@0.40,0.8001379148810779,0.797435728148635,0.8032935478534802
GDELT,plus_diversity,aurc,0.7931716505207222,0.792556644498101,0.7937769377994336
GDELT,plus_diversity,risk@0.40,0.8035265473383415,0.8014061780220245,0.8059694140317071
GDELT,plus_fragility,aurc,0.7933630466146123,0.7926483218683007,0.7940786976778555
GDELT,plus_fragility,risk@0.40,0.8039948244341438,0.8018510508094036,0.8064807202595496
GDELT,full_certificate,aurc,0.7646919562713965,0.7633372481582053,0.7656137094680469
GDELT,full_certificate,risk@0.40,0.7645524213799757,0.7629603881081157,0.7666016115942165
