dataset,target,method,n_supported,n_accepted,accepted_window_flip_rate
ICEWS14,0.2,baseline,3653,934,0.2291220556745182
ICEWS14,0.2,StableKG,3653,915,0.0907103825136612
ICEWS14,0.4,baseline,3653,1887,0.49920508744038156
ICEWS14,0.4,StableKG,3653,1922,0.39854318418314255
ICEWS05-15,0.2,baseline,4368,960,0.15833333333333333
ICEWS05-15,0.2,StableKG,4368,936,0.014957264957264958
ICEWS05-15,0.4,baseline,4368,1969,0.3773489080751651
ICEWS05-15,0.4,StableKG,4368,1942,0.23480947476828012
GDELT,0.2,baseline,4981,991,0.2522704339051463
GDELT,0.2,StableKG,4981,1015,0.19014778325123152
GDELT,0.4,baseline,4981,2022,0.44510385756676557
GDELT,0.4,StableKG,4981,2065,0.37191283292978206
