dataset,intervention,certificate_group,n,flip_rate,ci_low,ci_high,survival_spearman,spearman_p
ICEWS14,event,low certificate,2490,0.8413654618473896,0.8265060240963855,0.8554216867469879,0.7675954819338418,0.0
ICEWS14,event,high certificate,914,0.0010940919037199124,0.0,0.0032822757111597373,0.7675954819338418,0.0
ICEWS14,window,low certificate,2490,0.9979919678714859,0.9959839357429718,0.9995983935742971,0.9561707814570153,0.0
ICEWS14,window,high certificate,914,0.0010940919037199124,0.0,0.0032822757111597373,0.9561707814570153,0.0
ICEWS14,counter,low certificate,2490,0.8923694779116466,0.8799196787148594,0.9040160642570281,0.7278212387492475,0.0
ICEWS14,counter,high certificate,914,0.11706783369803063,0.0962800875273523,0.13785557986870897,0.7278212387492475,0.0
ICEWS05-15,event,low certificate,2720,0.8566176470588235,0.8430147058823529,0.8694852941176471,0.8008386099018874,0.0
ICEWS05-15,event,high certificate,1092,0.0,0.0,0.0,0.8008386099018874,0.0
ICEWS05-15,window,low certificate,2720,0.9977941176470588,0.9959558823529412,0.9992647058823529,0.9570167016580771,0.0
ICEWS05-15,window,high certificate,1092,0.0,0.0,0.0,0.9570167016580771,0.0
ICEWS05-15,counter,low certificate,2720,0.9158088235294117,0.9055147058823529,0.9261029411764706,0.7019416782017766,0.0
ICEWS05-15,counter,high certificate,1092,0.16483516483516483,0.14285714285714285,0.18772893772893773,0.7019416782017766,0.0
GDELT,event,low certificate,3149,0.610034931724357,0.5935217529374405,0.6268736106700539,0.58807043511757,0.0
GDELT,event,high certificate,1246,0.0,0.0,0.0,0.58807043511757,0.0
GDELT,window,low certificate,3149,0.9996824388694824,0.9990473166084471,1.0,0.959941257372822,0.0
GDELT,window,high certificate,1246,0.0,0.0,0.0,0.959941257372822,0.0
GDELT,counter,low certificate,3149,0.6614798348682122,0.6452842172118133,0.677675452524611,0.6148191803505108,0.0
GDELT,counter,high certificate,1246,0.012038523274478331,0.006420545746388443,0.018459069020866775,0.6148191803505108,0.0
