dataset,method,bin,belief,accuracy,count
ICEWS14,baseline,0,0.0659976781654578,0.02068519715578539,1547
ICEWS14,baseline,1,0.14882954007339974,0.20930232558139536,602
ICEWS14,baseline,2,0.2518366772989344,0.23577235772357724,738
ICEWS14,baseline,3,0.33971113616240195,0.3823008849557522,1130
ICEWS14,baseline,4,0.44495222226490183,0.4198645598194131,443
ICEWS14,baseline,5,0.5452110549113559,0.46494464944649444,271
ICEWS14,baseline,6,0.646073867185474,0.6338028169014085,142
ICEWS14,baseline,7,0.7458766322004268,0.6172839506172839,81
ICEWS14,baseline,8,0.8407469033624051,0.717391304347826,46
ICEWS14,StableKG,0,0.013894971761626363,0.012907608695652174,1472
ICEWS14,StableKG,1,0.1600165340712371,0.1383737517831669,701
ICEWS14,StableKG,2,0.24744508534346624,0.25697211155378485,1004
ICEWS14,StableKG,3,0.3449466546481555,0.3282275711159737,457
ICEWS14,StableKG,4,0.4524843942178777,0.424390243902439,615
ICEWS14,StableKG,5,0.5483268891451479,0.5369649805447471,257
ICEWS14,StableKG,6,0.6495063699582936,0.5923344947735192,287
ICEWS14,StableKG,7,0.7437451055324994,0.7292817679558011,181
ICEWS14,StableKG,8,0.8187766596422819,0.9230769230769231,26
ICEWS05-15,baseline,1,0.15065544855206556,0.11833952912019827,1614
ICEWS05-15,baseline,2,0.25229156660755553,0.26618705035971224,834
ICEWS05-15,baseline,3,0.34366283487150234,0.39804096170970615,1123
ICEWS05-15,baseline,4,0.44529748705560196,0.47217806041335453,629
ICEWS05-15,baseline,5,0.5469503241264245,0.5441988950276243,362
ICEWS05-15,baseline,6,0.6399421432861838,0.6190476190476191,210
ICEWS05-15,baseline,7,0.7438645828492583,0.6597938144329897,97
ICEWS05-15,baseline,8,0.8483176285368699,0.7378640776699029,103
ICEWS05-15,baseline,9,0.921230034681247,0.7857142857142857,28
ICEWS05-15,StableKG,0,0.025193720739624084,0.03580562659846547,782
ICEWS05-15,StableKG,1,0.1574682822318616,0.13580246913580246,648
ICEWS05-15,StableKG,2,0.2536796832256718,0.24290220820189273,1268
ICEWS05-15,StableKG,3,0.3452811685598386,0.3504531722054381,662
ICEWS05-15,StableKG,4,0.45422430214564496,0.5088062622309197,511
ICEWS05-15,StableKG,5,0.5415421679037786,0.5535307517084282,439
ICEWS05-15,StableKG,6,0.6507312766842172,0.6439393939393939,264
ICEWS05-15,StableKG,7,0.7494346128964485,0.7285223367697594,291
ICEWS05-15,StableKG,8,0.8349578878058234,0.7777777777777778,135
GDELT,baseline,0,0.060340338859017385,0.05274411974340699,1403
GDELT,baseline,1,0.14959560301776084,0.1504424778761062,3051
GDELT,baseline,2,0.23459769072445932,0.28254847645429365,361
GDELT,baseline,3,0.3454051932963974,0.3333333333333333,117
GDELT,baseline,4,0.4458042251989953,0.39285714285714285,56
GDELT,baseline,5,0.5394253669055229,0.375,8
GDELT,baseline,6,0.6349033160725444,1.0,3
GDELT,baseline,7,0.7065477050046785,1.0,1
GDELT,StableKG,0,0.06100884879698415,0.051233396584440226,1581
GDELT,StableKG,1,0.1424694718853539,0.14153132250580047,2586
GDELT,StableKG,2,0.23899302614727125,0.2701342281879195,596
GDELT,StableKG,3,0.3414475563396945,0.38922155688622756,167
GDELT,StableKG,4,0.43580142074561745,0.3968253968253968,63
GDELT,StableKG,5,0.5421482997158238,0.7142857142857143,7
