dataset,method,coverage,risk
ICEWS14,baseline,0.02,0.35
ICEWS14,baseline,0.04,0.345
ICEWS14,baseline,0.06,0.38
ICEWS14,baseline,0.08,0.405
ICEWS14,baseline,0.1,0.436
ICEWS14,baseline,0.12,0.45666666666666667
ICEWS14,baseline,0.14,0.47285714285714286
ICEWS14,baseline,0.16,0.4925
ICEWS14,baseline,0.18,0.5033333333333333
ICEWS14,baseline,0.2,0.506
ICEWS14,baseline,0.22,0.5145454545454545
ICEWS14,baseline,0.24,0.52
ICEWS14,baseline,0.26,0.5338461538461539
ICEWS14,baseline,0.28,0.5364285714285715
ICEWS14,baseline,0.3,0.54
ICEWS14,baseline,0.32,0.566875
ICEWS14,baseline,0.34,0.5676470588235294
ICEWS14,baseline,0.36,0.5555555555555556
ICEWS14,baseline,0.38,0.5615789473684211
ICEWS14,baseline,0.4,0.565
ICEWS14,baseline,0.42,0.5666666666666667
ICEWS14,baseline,0.44,0.5722727272727273
ICEWS14,baseline,0.46,0.58
ICEWS14,baseline,0.48,0.5858333333333333
ICEWS14,baseline,0.5,0.592
ICEWS14,baseline,0.52,0.6011538461538461
ICEWS14,baseline,0.54,0.607037037037037
ICEWS14,baseline,0.56,0.6135714285714285
ICEWS14,baseline,0.58,0.6206896551724138
ICEWS14,baseline,0.6,0.6263333333333333
ICEWS14,baseline,0.62,0.6329032258064516
ICEWS14,baseline,0.64,0.63625
ICEWS14,baseline,0.66,0.6415151515151515
ICEWS14,baseline,0.68,0.6452941176470588
ICEWS14,baseline,0.7,0.6502857142857142
ICEWS14,baseline,0.72,0.6541666666666667
ICEWS14,baseline,0.74,0.6624324324324324
ICEWS14,baseline,0.76,0.6713157894736842
ICEWS14,baseline,0.78,0.6797435897435897
ICEWS14,baseline,0.8,0.68775
ICEWS14,baseline,0.82,0.6953658536585365
ICEWS14,baseline,0.84,0.7026190476190476
ICEWS14,baseline,0.86,0.7095348837209302
ICEWS14,baseline,0.88,0.7161363636363637
ICEWS14,baseline,0.9,0.7224444444444444
ICEWS14,baseline,0.92,0.7284782608695652
ICEWS14,baseline,0.94,0.7342553191489362
ICEWS14,baseline,0.96,0.7397916666666666
ICEWS14,baseline,0.98,0.7451020408163266
ICEWS14,baseline,1.0,0.7502
ICEWS14,StableKG,0.02,0.18
ICEWS14,StableKG,0.04,0.25
ICEWS14,StableKG,0.06,0.27666666666666667
ICEWS14,StableKG,0.08,0.32
ICEWS14,StableKG,0.1,0.34
ICEWS14,StableKG,0.12,0.3516666666666667
ICEWS14,StableKG,0.14,0.36428571428571427
ICEWS14,StableKG,0.16,0.395
ICEWS14,StableKG,0.18,0.4533333333333333
ICEWS14,StableKG,0.2,0.439
ICEWS14,StableKG,0.22,0.43
ICEWS14,StableKG,0.24,0.4425
ICEWS14,StableKG,0.26,0.4584615384615385
ICEWS14,StableKG,0.28,0.475
ICEWS14,StableKG,0.3,0.48133333333333334
ICEWS14,StableKG,0.32,0.49875
ICEWS14,StableKG,0.34,0.5070588235294118
ICEWS14,StableKG,0.36,0.5194444444444445
ICEWS14,StableKG,0.38,0.5236842105263158
ICEWS14,StableKG,0.4,0.5325
ICEWS14,StableKG,0.42,0.5376190476190477
ICEWS14,StableKG,0.44,0.5477272727272727
ICEWS14,StableKG,0.46,0.5573913043478261
ICEWS14,StableKG,0.48,0.5666666666666667
ICEWS14,StableKG,0.5,0.5752
ICEWS14,StableKG,0.52,0.585
ICEWS14,StableKG,0.54,0.5918518518518519
ICEWS14,StableKG,0.56,0.5978571428571429
ICEWS14,StableKG,0.58,0.6048275862068966
ICEWS14,StableKG,0.6,0.614
ICEWS14,StableKG,0.62,0.6206451612903225
ICEWS14,StableKG,0.64,0.628125
ICEWS14,StableKG,0.66,0.6333333333333333
ICEWS14,StableKG,0.68,0.6411764705882353
ICEWS14,StableKG,0.7,0.6488571428571429
ICEWS14,StableKG,0.72,0.6566666666666666
ICEWS14,StableKG,0.74,0.6624324324324324
ICEWS14,StableKG,0.76,0.6713157894736842
ICEWS14,StableKG,0.78,0.6797435897435897
ICEWS14,StableKG,0.8,0.68775
ICEWS14,StableKG,0.82,0.6953658536585365
ICEWS14,StableKG,0.84,0.7026190476190476
ICEWS14,StableKG,0.86,0.7095348837209302
ICEWS14,StableKG,0.88,0.7161363636363637
ICEWS14,StableKG,0.9,0.7224444444444444
ICEWS14,StableKG,0.92,0.7284782608695652
ICEWS14,StableKG,0.94,0.7342553191489362
ICEWS14,StableKG,0.96,0.7397916666666666
ICEWS14,StableKG,0.98,0.7451020408163266
ICEWS14,StableKG,1.0,0.7502
ICEWS05-15,baseline,0.02,0.22
ICEWS05-15,baseline,0.04,0.275
ICEWS05-15,baseline,0.06,0.31666666666666665
ICEWS05-15,baseline,0.08,0.3375
ICEWS05-15,baseline,0.1,0.344
ICEWS05-15,baseline,0.12,0.35
ICEWS05-15,baseline,0.14,0.3657142857142857
ICEWS05-15,baseline,0.16,0.38875
ICEWS05-15,baseline,0.18,0.3977777777777778
ICEWS05-15,baseline,0.2,0.407
ICEWS05-15,baseline,0.22,0.42363636363636364
ICEWS05-15,baseline,0.24,0.43333333333333335
ICEWS05-15,baseline,0.26,0.44076923076923075
ICEWS05-15,baseline,0.28,0.4492857142857143
ICEWS05-15,baseline,0.3,0.45666666666666667
ICEWS05-15,baseline,0.32,0.463125
ICEWS05-15,baseline,0.34,0.4688235294117647
ICEWS05-15,baseline,0.36,0.47833333333333333
ICEWS05-15,baseline,0.38,0.48473684210526313
ICEWS05-15,baseline,0.4,0.488
ICEWS05-15,baseline,0.42,0.5014285714285714
ICEWS05-15,baseline,0.44,0.5077272727272727
ICEWS05-15,baseline,0.46,0.5030434782608696
ICEWS05-15,baseline,0.48,0.5066666666666667
ICEWS05-15,baseline,0.5,0.5136
ICEWS05-15,baseline,0.52,0.5173076923076924
ICEWS05-15,baseline,0.54,0.5266666666666666
ICEWS05-15,baseline,0.56,0.5360714285714285
ICEWS05-15,baseline,0.58,0.5427586206896552
ICEWS05-15,baseline,0.6,0.5503333333333333
ICEWS05-15,baseline,0.62,0.5564516129032258
ICEWS05-15,baseline,0.64,0.56125
ICEWS05-15,baseline,0.66,0.5678787878787879
ICEWS05-15,baseline,0.68,0.5708823529411765
ICEWS05-15,baseline,0.7,0.5768571428571428
ICEWS05-15,baseline,0.72,0.5813888888888888
ICEWS05-15,baseline,0.74,0.5872972972972973
ICEWS05-15,baseline,0.76,0.5913157894736842
ICEWS05-15,baseline,0.78,0.5948717948717949
ICEWS05-15,baseline,0.8,0.60125
ICEWS05-15,baseline,0.82,0.6085365853658536
ICEWS05-15,baseline,0.84,0.6142857142857143
ICEWS05-15,baseline,0.86,0.6195348837209302
ICEWS05-15,baseline,0.88,0.6259090909090909
ICEWS05-15,baseline,0.9,0.6342222222222222
ICEWS05-15,baseline,0.92,0.6421739130434783
ICEWS05-15,baseline,0.94,0.6497872340425532
ICEWS05-15,baseline,0.96,0.6570833333333334
ICEWS05-15,baseline,0.98,0.6640816326530612
ICEWS05-15,baseline,1.0,0.6708
ICEWS05-15,StableKG,0.02,0.2
ICEWS05-15,StableKG,0.04,0.235
ICEWS05-15,StableKG,0.06,0.23333333333333334
ICEWS05-15,StableKG,0.08,0.26
ICEWS05-15,StableKG,0.1,0.27
ICEWS05-15,StableKG,0.12,0.29333333333333333
ICEWS05-15,StableKG,0.14,0.2957142857142857
ICEWS05-15,StableKG,0.16,0.30125
ICEWS05-15,StableKG,0.18,0.31555555555555553
ICEWS05-15,StableKG,0.2,0.323
ICEWS05-15,StableKG,0.22,0.34363636363636363
ICEWS05-15,StableKG,0.24,0.34833333333333333
ICEWS05-15,StableKG,0.26,0.3569230769230769
ICEWS05-15,StableKG,0.28,0.36857142857142855
ICEWS05-15,StableKG,0.3,0.38133333333333336
ICEWS05-15,StableKG,0.32,0.394375
ICEWS05-15,StableKG,0.34,0.40294117647058825
ICEWS05-15,StableKG,0.36,0.415
ICEWS05-15,StableKG,0.38,0.42578947368421055
ICEWS05-15,StableKG,0.4,0.441
ICEWS05-15,StableKG,0.42,0.4519047619047619
ICEWS05-15,StableKG,0.44,0.4618181818181818
ICEWS05-15,StableKG,0.46,0.4691304347826087
ICEWS05-15,StableKG,0.48,0.47458333333333336
ICEWS05-15,StableKG,0.5,0.482
ICEWS05-15,StableKG,0.52,0.49346153846153845
ICEWS05-15,StableKG,0.54,0.5037037037037037
ICEWS05-15,StableKG,0.56,0.5125
ICEWS05-15,StableKG,0.58,0.5217241379310344
ICEWS05-15,StableKG,0.6,0.53
ICEWS05-15,StableKG,0.62,0.5380645161290323
ICEWS05-15,StableKG,0.64,0.545625
ICEWS05-15,StableKG,0.66,0.5521212121212121
ICEWS05-15,StableKG,0.68,0.5594117647058824
ICEWS05-15,StableKG,0.7,0.5682857142857143
ICEWS05-15,StableKG,0.72,0.5736111111111111
ICEWS05-15,StableKG,0.74,0.5808108108108108
ICEWS05-15,StableKG,0.76,0.5886842105263158
ICEWS05-15,StableKG,0.78,0.5964102564102564
ICEWS05-15,StableKG,0.8,0.603
ICEWS05-15,StableKG,0.82,0.6090243902439024
ICEWS05-15,StableKG,0.84,0.6147619047619047
ICEWS05-15,StableKG,0.86,0.6195348837209302
ICEWS05-15,StableKG,0.88,0.6259090909090909
ICEWS05-15,StableKG,0.9,0.6342222222222222
ICEWS05-15,StableKG,0.92,0.6421739130434783
ICEWS05-15,StableKG,0.94,0.6497872340425532
ICEWS05-15,StableKG,0.96,0.6570833333333334
ICEWS05-15,StableKG,0.98,0.6640816326530612
ICEWS05-15,StableKG,1.0,0.6708
GDELT,baseline,0.02,0.58
GDELT,baseline,0.04,0.635
GDELT,baseline,0.06,0.6666666666666666
GDELT,baseline,0.08,0.675
GDELT,baseline,0.1,0.686
GDELT,baseline,0.12,0.6883333333333334
GDELT,baseline,0.14,0.6885714285714286
GDELT,baseline,0.16,0.6975
GDELT,baseline,0.18,0.6977777777777778
GDELT,baseline,0.2,0.707
GDELT,baseline,0.22,0.7136363636363636
GDELT,baseline,0.24,0.7241666666666666
GDELT,baseline,0.26,0.7307692307692307
GDELT,baseline,0.28,0.7342857142857143
GDELT,baseline,0.3,0.7386666666666667
GDELT,baseline,0.32,0.74375
GDELT,baseline,0.34,0.75
GDELT,baseline,0.36,0.75
GDELT,baseline,0.38,0.7531578947368421
GDELT,baseline,0.4,0.7575
GDELT,baseline,0.42,0.76
GDELT,baseline,0.44,0.7668181818181818
GDELT,baseline,0.46,0.7717391304347826
GDELT,baseline,0.48,0.7770833333333333
GDELT,baseline,0.5,0.7808
GDELT,baseline,0.52,0.785
GDELT,baseline,0.54,0.79
GDELT,baseline,0.56,0.7925
GDELT,baseline,0.58,0.7989655172413793
GDELT,baseline,0.6,0.8023333333333333
GDELT,baseline,0.62,0.8070967741935484
GDELT,baseline,0.64,0.8115625
GDELT,baseline,0.66,0.8148484848484848
GDELT,baseline,0.68,0.8188235294117647
GDELT,baseline,0.7,0.822
GDELT,baseline,0.72,0.825
GDELT,baseline,0.74,0.8267567567567567
GDELT,baseline,0.76,0.8294736842105264
GDELT,baseline,0.78,0.8325641025641025
GDELT,baseline,0.8,0.8345
GDELT,baseline,0.82,0.8378048780487805
GDELT,baseline,0.84,0.8402380952380952
GDELT,baseline,0.86,0.8427906976744186
GDELT,baseline,0.88,0.845
GDELT,baseline,0.9,0.8471111111111111
GDELT,baseline,0.92,0.8502173913043478
GDELT,baseline,0.94,0.8527659574468085
GDELT,baseline,0.96,0.8552083333333333
GDELT,baseline,0.98,0.8571428571428571
GDELT,baseline,1.0,0.8594
GDELT,StableKG,0.02,0.61
GDELT,StableKG,0.04,0.57
GDELT,StableKG,0.06,0.6033333333333334
GDELT,StableKG,0.08,0.63
GDELT,StableKG,0.1,0.65
GDELT,StableKG,0.12,0.66
GDELT,StableKG,0.14,0.6657142857142857
GDELT,StableKG,0.16,0.6875
