seed,drift_time,mode,recovery_lag,post_drift_accuracy
0,10,global_decay,10,0.0
0,10,stability_aware,10,0.0
0,10,static,10,0.0
0,20,global_decay,10,0.0
0,20,stability_aware,10,0.0
0,20,static,10,0.0
0,30,global_decay,10,0.0
0,30,stability_aware,10,0.0
0,30,static,10,0.0
0,40,global_decay,10,0.0
0,40,stability_aware,10,0.0
0,40,static,10,0.0
0,50,global_decay,10,0.0
0,50,stability_aware,10,0.0
0,50,static,10,0.0
0,60,global_decay,10,0.0
0,60,stability_aware,10,0.0
0,60,static,10,0.0
0,70,global_decay,10,0.0
0,70,stability_aware,10,0.0
0,70,static,10,0.0
0,80,global_decay,10,0.0
0,80,stability_aware,8,1.0
0,80,static,10,0.0
1,10,global_decay,10,0.0
1,10,stability_aware,10,0.0
1,10,static,10,0.0
1,20,global_decay,10,0.0
1,20,stability_aware,10,0.0
1,20,static,10,0.0
1,30,global_decay,10,0.0
1,30,stability_aware,10,0.0
1,30,static,10,0.0
1,40,global_decay,10,0.0
1,40,stability_aware,10,0.0
1,40,static,10,0.0
1,50,global_decay,10,0.0
1,50,stability_aware,10,0.0
1,50,static,10,0.0
1,60,global_decay,10,0.0
1,60,stability_aware,10,0.0
1,60,static,10,0.0
1,70,global_decay,10,0.0
1,70,stability_aware,10,0.0
1,70,static,10,0.0
1,80,global_decay,10,0.0
1,80,stability_aware,10,0.0
1,80,static,10,0.0
2,10,global_decay,10,0.0
2,10,stability_aware,10,0.0
2,10,static,10,0.0
2,20,global_decay,10,0.0
2,20,stability_aware,10,0.0
2,20,static,10,0.0
2,30,global_decay,10,0.0
2,30,stability_aware,10,0.0
2,30,static,10,0.0
2,40,global_decay,10,0.0
2,40,stability_aware,10,0.0
2,40,static,10,0.0
2,50,global_decay,10,0.0
2,50,stability_aware,10,0.0
2,50,static,10,0.0
2,60,global_decay,10,0.0
2,60,stability_aware,10,0.0
2,60,static,10,0.0
2,70,global_decay,10,0.0
2,70,stability_aware,10,0.0
2,70,static,10,0.0
2,80,global_decay,10,0.0
2,80,stability_aware,10,0.0
2,80,static,10,0.0
3,10,global_decay,10,0.0
3,10,stability_aware,10,0.0
3,10,static,10,0.0
3,20,global_decay,10,0.0
3,20,stability_aware,10,0.0
3,20,static,10,0.0
3,30,global_decay,10,0.0
3,30,stability_aware,10,0.0
3,30,static,10,0.0
3,40,global_decay,10,0.0
3,40,stability_aware,10,0.0
3,40,static,10,0.0
3,50,global_decay,10,0.0
3,50,stability_aware,10,0.0
3,50,static,10,0.0
3,60,global_decay,10,0.0
3,60,stability_aware,10,0.0
3,60,static,10,0.0
3,70,global_decay,10,0.0
3,70,stability_aware,10,0.0
3,70,static,10,0.0
3,80,global_decay,10,0.0
3,80,stability_aware,10,0.0
3,80,static,10,0.0
4,10,global_decay,9,0.8181818181818182
4,10,stability_aware,10,0.0
4,10,static,10,0.0
4,20,global_decay,10,0.0
4,20,stability_aware,10,0.0
4,20,static,10,0.0
4,30,global_decay,10,0.0
4,30,stability_aware,10,0.0
4,30,static,10,0.0
4,40,global_decay,10,0.0
4,40,stability_aware,10,0.0
4,40,static,10,0.0
4,50,global_decay,10,0.0
4,50,stability_aware,10,0.0
4,50,static,10,0.0
4,60,global_decay,10,0.0
4,60,stability_aware,10,0.0
4,60,static,10,0.0
4,70,global_decay,10,0.0
4,70,stability_aware,10,0.0
4,70,static,10,0.0
4,80,global_decay,10,0.0
4,80,stability_aware,10,0.0
4,80,static,10,0.0
5,10,global_decay,10,0.0
5,10,stability_aware,10,0.0
5,10,static,10,0.0
5,20,global_decay,10,0.0
5,20,stability_aware,5,1.0
5,20,static,10,0.0
5,30,global_decay,10,0.0
5,30,stability_aware,10,0.0
5,30,static,10,0.0
5,40,global_decay,10,0.0
5,40,stability_aware,10,0.0
5,40,static,10,0.0
5,50,global_decay,10,0.0
5,50,stability_aware,10,0.0
5,50,static,10,0.0
5,60,global_decay,10,0.0
5,60,stability_aware,10,0.0
5,60,static,10,0.0
5,70,global_decay,10,0.0
5,70,stability_aware,10,0.0
5,70,static,10,0.0
5,80,global_decay,10,0.0
5,80,stability_aware,10,0.0
5,80,static,10,0.0
6,10,global_decay,9,0.8461538461538461
6,10,stability_aware,10,0.0
6,10,static,10,0.0
6,20,global_decay,10,0.0
6,20,stability_aware,10,0.0
6,20,static,10,0.0
6,30,global_decay,10,0.0
6,30,stability_aware,10,0.0
6,30,static,10,0.0
6,40,global_decay,10,0.0
6,40,stability_aware,10,0.0
6,40,static,10,0.0
6,50,global_decay,10,0.0
6,50,stability_aware,10,0.0
6,50,static,10,0.0
6,60,global_decay,10,0.0
6,60,stability_aware,10,0.0
6,60,static,10,0.0
6,70,global_decay,10,0.0
6,70,stability_aware,10,0.0
6,70,static,10,0.0
6,80,global_decay,10,0.0
6,80,stability_aware,10,0.0
6,80,static,10,0.0
7,10,global_decay,10,0.0
7,10,stability_aware,10,0.0
7,10,static,10,0.0
7,20,global_decay,10,0.0
7,20,stability_aware,10,0.0
7,20,static,10,0.0
7,30,global_decay,10,0.0
