seed,n_interventions,event_flip_rate,window_flip_rate,low_certificate_event_flip,high_certificate_event_flip,low_certificate_window_flip,high_certificate_window_flip,certificate_nonflip_corr,median_counter_events,full_nodes,incremental_nodes,node_reduction,full_update_ms,incremental_update_ms,runtime_reduction,incremental_max_error
0,9472,0.0610219594594594,0.1460092905405405,0.1066300675675675,0.0154138513513513,0.2160050675675675,0.0760135135135135,0.2016776785039962,24.0,220.0,57.625,0.7380681818181818,0.64762725,0.4181279,0.3543695080773701,0.0
1,9458,0.071791076337492,0.1516176781560583,0.1184182702474096,0.0251638824275745,0.2304927045887079,0.0727426517234087,0.2291343267346426,24.0,220.0,65.5,0.7022727272727273,0.7161655,0.4182688499999999,0.415960626419452,0.0
2,9397,0.077365116526551,0.1561136532936043,0.1298424861643252,0.0248989146626941,0.2330779054916986,0.0791657799531815,0.2005776610816073,23.0,220.0,67.5,0.6931818181818181,0.4257677,0.1608669,0.6221721375294555,0.0
3,9465,0.0689910195456946,0.1456946645536186,0.1168639053254437,0.0211282484682019,0.2305579036348267,0.0608493555884217,0.2714403115732212,24.0,220.0,57.375,0.7392045454545455,0.65735475,0.4687688499999999,0.2868860383225344,0.0
4,9465,0.0658214474379292,0.1501320655044902,0.1071428571428571,0.0245087682231143,0.2240067624683009,0.0762729769702091,0.2067826006765652,24.0,220.0,71.25,0.6761363636363636,0.7686335,0.42096415,0.4523213599199097,0.0
5,9481,0.0699293323489083,0.1546250395527897,0.1183544303797468,0.0215144484286015,0.2333333333333333,0.0759333473950643,0.2055962795192137,24.0,220.0,58.5,0.7340909090909091,0.57510765,0.3454142,0.3993920964188182,0.0
6,9472,0.0665118243243243,0.1377744932432432,0.1146537162162162,0.0183699324324324,0.2124155405405405,0.0631334459459459,0.224654062705935,25.0,220.0,64.375,0.7073863636363636,0.61100435,0.44887355,0.2653513023270619,0.0
7,9473,0.0693550089728702,0.1477884513881558,0.1127533783783783,0.025965801139962,0.2098817567567567,0.0857082541693054,0.1958583420186081,25.0,220.0,66.75,0.696590909090909,0.92369545,0.54632155,0.4085479689220077,0.0
8,9367,0.0680046973417316,0.1473257179459805,0.1103993166773435,0.0256191289496157,0.2143924834507794,0.0802732707087959,0.1942294011187938,24.0,220.0,62.0,0.7181818181818183,0.60561825,0.33896735,0.4402953510730564,0.0
9,9401,0.0770130837144984,0.1380704180406339,0.1325531914893617,0.0214847904701127,0.2197872340425531,0.0563709848968304,0.251017271510988,24.0,220.0,62.25,0.7170454545454545,1.0965757,0.40073495,0.6345578786763193,0.0
10,9479,0.0660407215951049,0.1422090937862643,0.1114159105296476,0.020675105485232,0.2158683266511922,0.0685654008438818,0.2290745890865373,25.0,220.0,56.625,0.7426136363636364,0.94337345,0.3667048,0.6112835272181976,0.0
11,9430,0.0738069989395546,0.1513255567338282,0.1306468716861081,0.016967126193001,0.2142099681866384,0.088441145281018,0.1719338457829013,24.0,220.0,62.0,0.7181818181818183,1.1466682,0.5448503499999999,0.5248404464342868,0.0
12,9335,0.0657739689341189,0.1463310123192287,0.1118491536318834,0.0197086546700942,0.2256267409470752,0.0670522707797772,0.2383438408460833,24.0,220.0,66.0,0.7,1.1403381,0.42723325,0.6253451059821644,0.0
13,9430,0.0710498409331919,0.1459172852598091,0.1227995758218451,0.0193001060445387,0.2171792152704135,0.0746553552492046,0.2048162246904635,23.0,220.0,65.25,0.7034090909090909,1.18401725,0.5834550500000001,0.5072241979582645,0.0
14,9496,0.0658171861836562,0.1515374894692502,0.1093091828138163,0.0223251895534962,0.2257792754844144,0.0772957034540859,0.2257611054934938,24.0,220.0,57.5,0.7386363636363636,0.6507775,0.21721775,0.6662181006565224,0.0
15,9440,0.0713983050847457,0.1650423728813559,0.1146186440677966,0.0281779661016949,0.2387711864406779,0.0913135593220339,0.2130019270515646,24.0,220.0,61.75,0.7193181818181817,1.10523145,0.46243525,0.5815941991154885,0.0
16,9301,0.0652617998064724,0.152779271046124,0.1109677419354838,0.0195656847989679,0.2202150537634408,0.0853579875295635,0.1805463312121067,23.0,220.0,60.625,0.7244318181818181,1.0658948,0.76894615,0.2785909547546344,0.0
17,9479,0.0654077434328515,0.1443190209937757,0.1112048955475838,0.0196202531645569,0.2017303228529225,0.0869198312236286,0.1649037554137824,25.0,220.0,61.375,0.7210227272727272,1.3456573500000002,0.6611231,0.5086987783331323,0.0
18,9533,0.0670303157453057,0.1566138676177488,0.110155266470835,0.0239144115796098,0.2339488040285354,0.079295154185022,0.2109454186570373,25.0,220.0,66.875,0.6960227272727273,1.20879185,0.74926375,0.3801548628905796,0.0
19,9403,0.0724236945655641,0.1453791343188344,0.1244416081684748,0.0204168438962143,0.2159115081897468,0.074861760952786,0.192644777913219,24.0,220.0,60.125,0.7267045454545454,0.80797515,0.3472500999999999,0.5702218069454241,0.0
