dataset,target,method,time_block,timestamp_min,timestamp_max,n_queries,coverage,risk
ICEWS14,0.2,baseline,0,0,36,412,0.04854368932038835,0.35
ICEWS14,0.2,baseline,1,37,73,478,0.14435146443514643,0.4782608695652174
ICEWS14,0.2,baseline,2,74,110,449,0.1714922048997773,0.5324675324675324
ICEWS14,0.2,baseline,3,111,147,551,0.16878402903811252,0.5376344086021505
ICEWS14,0.2,baseline,4,148,184,549,0.19672131147540983,0.5
ICEWS14,0.2,baseline,5,185,221,460,0.23478260869565218,0.49074074074074076
ICEWS14,0.2,baseline,6,222,258,524,0.21183206106870228,0.5405405405405406
ICEWS14,0.2,baseline,7,259,295,562,0.20284697508896798,0.5
ICEWS14,0.2,baseline,8,296,332,576,0.22743055555555555,0.5114503816793893
ICEWS14,0.2,baseline,9,333,364,439,0.23462414578587698,0.47572815533980584
ICEWS14,0.2,StableKG,0,0,36,412,0.10194174757281553,0.5238095238095238
ICEWS14,0.2,StableKG,1,37,73,478,0.14644351464435146,0.5142857142857142
ICEWS14,0.2,StableKG,2,74,110,449,0.18262806236080179,0.47560975609756095
ICEWS14,0.2,StableKG,3,111,147,551,0.1869328493647913,0.4854368932038835
ICEWS14,0.2,StableKG,4,148,184,549,0.1912568306010929,0.45714285714285713
ICEWS14,0.2,StableKG,5,185,221,460,0.20869565217391303,0.4479166666666667
ICEWS14,0.2,StableKG,6,222,258,524,0.21755725190839695,0.5175438596491229
ICEWS14,0.2,StableKG,7,259,295,562,0.19572953736654805,0.42727272727272725
ICEWS14,0.2,StableKG,8,296,332,576,0.1736111111111111,0.41
ICEWS14,0.2,StableKG,9,333,364,439,0.21184510250569477,0.40860215053763443
ICEWS14,0.4,baseline,0,0,36,412,0.2621359223300971,0.5092592592592593
ICEWS14,0.4,baseline,1,37,73,478,0.3619246861924686,0.6184971098265896
ICEWS14,0.4,baseline,2,74,110,449,0.3585746102449889,0.546583850931677
ICEWS14,0.4,baseline,3,111,147,551,0.3484573502722323,0.6041666666666666
ICEWS14,0.4,baseline,4,148,184,549,0.3697632058287796,0.5369458128078818
ICEWS14,0.4,baseline,5,185,221,460,0.4391304347826087,0.5099009900990099
ICEWS14,0.4,baseline,6,222,258,524,0.3988549618320611,0.6172248803827751
ICEWS14,0.4,baseline,7,259,295,562,0.398576512455516,0.5758928571428571
ICEWS14,0.4,baseline,8,296,332,576,0.3993055555555556,0.5347826086956522
ICEWS14,0.4,baseline,9,333,364,439,0.4214123006833713,0.5243243243243243
ICEWS14,0.4,StableKG,0,0,36,412,0.30339805825242716,0.504
ICEWS14,0.4,StableKG,1,37,73,478,0.399581589958159,0.5392670157068062
ICEWS14,0.4,StableKG,2,74,110,449,0.4142538975501114,0.553763440860215
ICEWS14,0.4,StableKG,3,111,147,551,0.3738656987295826,0.5776699029126213
ICEWS14,0.4,StableKG,4,148,184,549,0.38979963570127507,0.514018691588785
ICEWS14,0.4,StableKG,5,185,221,460,0.4,0.4673913043478261
ICEWS14,0.4,StableKG,6,222,258,524,0.38549618320610685,0.5594059405940595
ICEWS14,0.4,StableKG,7,259,295,562,0.3540925266903915,0.4723618090452261
ICEWS14,0.4,StableKG,8,296,332,576,0.3958333333333333,0.5307017543859649
ICEWS14,0.4,StableKG,9,333,364,439,0.42596810933940776,0.5133689839572193
ICEWS05-15,0.2,baseline,0,1,402,583,0.08919382504288165,0.38461538461538464
ICEWS05-15,0.2,baseline,1,403,803,566,0.16607773851590105,0.3404255319148936
ICEWS05-15,0.2,baseline,2,805,1206,541,0.1866913123844732,0.37623762376237624
ICEWS05-15,0.2,baseline,3,1207,1608,565,0.2176991150442478,0.5040650406504065
ICEWS05-15,0.2,baseline,4,1609,2009,515,0.2446601941747573,0.47619047619047616
ICEWS05-15,0.2,baseline,5,2012,2412,417,0.23501199040767387,0.3979591836734694
ICEWS05-15,0.2,baseline,6,2413,2814,396,0.18686868686868688,0.3918918918918919
ICEWS05-15,0.2,baseline,7,2816,3211,401,0.1970074812967581,0.34177215189873417
ICEWS05-15,0.2,baseline,8,3217,3618,456,0.21710526315789475,0.29292929292929293
ICEWS05-15,0.2,baseline,9,3620,4015,560,0.20357142857142857,0.45614035087719296
ICEWS05-15,0.2,StableKG,0,1,402,583,0.10806174957118353,0.2698412698412698
ICEWS05-15,0.2,StableKG,1,403,803,566,0.1413427561837456,0.225
ICEWS05-15,0.2,StableKG,2,805,1206,541,0.19408502772643252,0.34285714285714286
ICEWS05-15,0.2,StableKG,3,1207,1608,565,0.1911504424778761,0.3425925925925926
ICEWS05-15,0.2,StableKG,4,1609,2009,515,0.22135922330097088,0.40350877192982454
ICEWS05-15,0.2,StableKG,5,2012,2412,417,0.22302158273381295,0.3333333333333333
ICEWS05-15,0.2,StableKG,6,2413,2814,396,0.18434343434343434,0.3150684931506849
ICEWS05-15,0.2,StableKG,7,2816,3211,401,0.24189526184538654,0.27835051546391754
ICEWS05-15,0.2,StableKG,8,3217,3618,456,0.22149122807017543,0.2079207920792079
ICEWS05-15,0.2,StableKG,9,3620,4015,560,0.18214285714285713,0.4117647058823529
ICEWS05-15,0.4,baseline,0,1,402,583,0.2607204116638079,0.4868421052631579
ICEWS05-15,0.4,baseline,1,403,803,566,0.3674911660777385,0.46153846153846156
ICEWS05-15,0.4,baseline,2,805,1206,541,0.4029574861367837,0.42660550458715596
ICEWS05-15,0.4,baseline,3,1207,1608,565,0.431858407079646,0.5327868852459017
ICEWS05-15,0.4,baseline,4,1609,2009,515,0.4621359223300971,0.5546218487394958
ICEWS05-15,0.4,baseline,5,2012,2412,417,0.4556354916067146,0.5
ICEWS05-15,0.4,baseline,6,2413,2814,396,0.3939393939393939,0.5128205128205128
ICEWS05-15,0.4,baseline,7,2816,3211,401,0.39650872817955113,0.4339622641509434
ICEWS05-15,0.4,baseline,8,3217,3618,456,0.3969298245614035,0.3867403314917127
ICEWS05-15,0.4,baseline,9,3620,4015,560,0.3982142857142857,0.5291479820627802
ICEWS05-15,0.4,StableKG,0,1,402,583,0.3156089193825043,0.46195652173913043
ICEWS05-15,0.4,StableKG,1,403,803,566,0.3498233215547703,0.3939393939393939
ICEWS05-15,0.4,StableKG,2,805,1206,541,0.4011090573012939,0.3824884792626728
ICEWS05-15,0.4,StableKG,3,1207,1608,565,0.41061946902654867,0.47413793103448276
ICEWS05-15,0.4,StableKG,4,1609,2009,515,0.4174757281553398,0.5069767441860465
ICEWS05-15,0.4,StableKG,5,2012,2412,417,0.4316546762589928,0.4444444444444444
ICEWS05-15,0.4,StableKG,6,2413,2814,396,0.3661616161616162,0.38620689655172413
ICEWS05-15,0.4,StableKG,7,2816,3211,401,0.41895261845386533,0.40476190476190477
ICEWS05-15,0.4,StableKG,8,3217,3618,456,0.4100877192982456,0.36363636363636365
ICEWS05-15,0.4,StableKG,9,3620,4015,560,0.38571428571428573,0.49537037037037035
GDELT,0.2,baseline,0,0,36,503,0.30019880715705766,0.7284768211920529
GDELT,0.2,baseline,1,37,73,454,0.1762114537444934,0.8375
GDELT,0.2,baseline,2,74,110,464,0.17025862068965517,0.6708860759493671
GDELT,0.2,baseline,3,111,147,513,0.20857699805068225,0.7102803738317757
GDELT,0.2,baseline,4,148,184,547,0.20292504570383912,0.6846846846846847
GDELT,0.2,baseline,5,185,221,523,0.1950286806883365,0.696078431372549
GDELT,0.2,baseline,6,222,258,481,0.17671517671517672,0.7411764705882353
GDELT,0.2,baseline,7,259,295,451,0.19068736141906872,0.627906976744186
GDELT,0.2,baseline,8,296,332,562,0.17437722419928825,0.673469387755102
GDELT,0.2,baseline,9,333,365,502,0.18326693227091634,0.7065217391304348
GDELT,0.2,StableKG,0,0,36,503,0.22664015904572565,0.7017543859649122
GDELT,0.2,StableKG,1,37,73,454,0.15859030837004406,0.7916666666666666
GDELT,0.2,StableKG,2,74,110,464,0.16163793103448276,0.7333333333333333
GDELT,0.2,StableKG,3,111,147,513,0.21442495126705652,0.7272727272727273
GDELT,0.2,StableKG,4,148,184,547,0.20658135283363802,0.7256637168141593
GDELT,0.2,StableKG,5,185,221,523,0.21223709369024857,0.6936936936936937
GDELT,0.2,StableKG,6,222,258,481,0.19542619542619544,0.776595744680851
GDELT,0.2,StableKG,7,259,295,451,0.23725055432372505,0.6355140186915887
GDELT,0.2,StableKG,8,296,332,562,0.20462633451957296,0.6956521739130435
GDELT,0.2,StableKG,9,333,365,502,0.20717131474103587,0.6538461538461539
GDELT,0.4,baseline,0,0,36,503,0.6043737574552683,0.7796052631578947
GDELT,0.4,baseline,1,37,73,454,0.45594713656387664,0.8067632850241546
GDELT,0.4,baseline,2,74,110,464,0.4245689655172414,0.8071065989847716
GDELT,0.4,baseline,3,111,147,513,0.4074074074074074,0.784688995215311
GDELT,0.4,baseline,4,148,184,547,0.396709323583181,0.7004608294930875
GDELT,0.4,baseline,5,185,221,523,0.372848948374761,0.7538461538461538
GDELT,0.4,baseline,6,222,258,481,0.3284823284823285,0.810126582278481
GDELT,0.4,baseline,7,259,295,451,0.36585365853658536,0.6606060606060606
GDELT,0.4,baseline,8,296,332,562,0.34341637010676157,0.7564766839378239
GDELT,0.4,baseline,9,333,365,502,0.35258964143426297,0.7005649717514124
GDELT,0.4,StableKG,0,0,36,503,0.5546719681908548,0.7813620071684588
GDELT,0.4,StableKG,1,37,73,454,0.3832599118942731,0.8045977011494253
GDELT,0.4,StableKG,2,74,110,464,0.40301724137931033,0.8235294117647058
GDELT,0.4,StableKG,3,111,147,513,0.41325536062378165,0.7877358490566038
GDELT,0.4,StableKG,4,148,184,547,0.3875685557586837,0.7216981132075472
GDELT,0.4,StableKG,5,185,221,523,0.39579349904397704,0.7439613526570048
GDELT,0.4,StableKG,6,222,258,481,0.35343035343035345,0.8235294117647058
GDELT,0.4,StableKG,7,259,295,451,0.3968957871396896,0.6871508379888268
GDELT,0.4,StableKG,8,296,332,562,0.4181494661921708,0.7829787234042553
GDELT,0.4,StableKG,9,333,365,502,0.41832669322709165,0.7285714285714285
