query_id,subject,relation,timestamp,winner,runner,correct,certificate,fragility_cost,counter_evidence_cost,diversity,support,event_flip,window_flip,counter_flip
0,230,4,337,35,58,1,0.5,0.5785605957536449,0.2761487868525631,0.42143940424635506,2.0,1,1,1
1,230,12,318,223,38,0,0.5,0.9883609830011217,0.11375990859287693,0.01163901699887826,5.0,1,1,1
2,230,14,290,305,320,1,0.5,0.5626741606833183,0.3551205717825795,0.4373258393166817,17.0,0,1,0
3,230,0,226,223,454,0,0.5,0.4171515544154811,0.044164837542043235,0.5828484455845189,10.0,1,1,1
4,230,15,15,78,181,0,0.5,0.5049508894765015,0.019213780246116783,0.49504911052349854,2.0,1,1,1
5,230,2,154,454,223,0,0.5,0.3305154793992686,0.07256933119949287,0.6694845206007314,6.0,1,1,1
6,230,16,134,472,471,0,0.5,0.38191372864763135,0.039365681794313996,0.6180862713523687,4.0,1,1,1
7,230,18,279,467,95,0,0.5,0.5272366732981669,0.17843832067651763,0.4727633267018331,3.0,1,1,1
8,334,18,69,465,474,0,0.6767588312125672,0.5525294065456385,0.28867155289248947,0.800988255879496,28.0,0,0,0
9,334,18,83,465,474,0,0.6969842005294932,0.5906624878392761,0.3893231486604349,0.8033059132197102,33.0,0,0,0
10,334,0,266,474,314,0,0.6122762185768988,0.36770919806679575,0.20015229426319806,0.856843239087002,171.0,0,0,0
11,334,0,68,465,474,0,0.5723191232783376,0.2937037504601836,0.1221922182737482,0.8509344960964916,50.0,0,0,0
12,334,0,176,474,465,0,0.5,0.17187104079075746,0.07062284366495362,0.8281289592092426,106.0,0,1,0
13,334,0,255,474,314,0,0.6594073139608074,0.45532764429455325,0.22667430819596823,0.8634869836270616,162.0,0,0,0
14,334,0,212,474,465,0,0.5535569427730728,0.22081992658746294,0.08507948946893719,0.8862939589586827,127.0,0,0,0
15,334,2,183,474,118,0,0.7213202215476116,0.630901872306001,0.45283319190742705,0.811738570789222,42.0,0,0,0
16,334,14,29,465,118,0,0.6266201163314147,0.5279996249658342,0.3318723216986154,0.725240607696995,19.0,0,0,0
17,334,14,301,474,465,0,0.6989020449334422,0.5243211831773662,0.3141612507531263,0.8734829066895182,108.0,0,0,0
