model,dataset,comparison,estimate,ci_low,ci_high,valid_replicates,replicates,time_blocks
TeRDy,ICEWS05-15,mrr_gain,0.004352166539262439,0.001992977225657802,0.006909596503357275,2000,2000,20
TeRDy,ICEWS05-15,accuracy_gain,0.0038,0.0006004116098368838,0.006928049267422841,2000,2000,20
TeRDy,ICEWS05-15,aurc_certificate_minus_best,0.0087760005574093,0.006589463293627378,0.011127676431923346,2000,2000,20
TeRDy,ICEWS05-15,certified_coverage,0.8925333333333333,0.8838516397458197,0.9015162496632345,2000,2000,20
TeRDy,ICEWS05-15,risk20_certificate_minus_best,0.008000000000000002,4.510281037539705e-18,0.017120270319656954,2000,2000,20
TeRDy,ICEWS05-15,risk20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS05-15,joint20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS05-15,risk40_certificate_minus_best,0.010333333333333342,0.00324379438157055,0.015963452098879494,2000,2000,20
TeRDy,ICEWS05-15,risk40_gate_minus_belief,-0.00016666666666666682,-0.0003542059407958397,0.0004975124378109411,2000,2000,20
TeRDy,ICEWS05-15,joint40_gate_minus_belief,-0.00033333333333333365,-0.0010209812668658964,0.0,2000,2000,20
TeRDy,ICEWS05-15,risk80_certificate_minus_best,0.004666666666666652,0.0013318935649032657,0.007803197282626732,2000,2000,20
TeRDy,ICEWS05-15,risk80_gate_minus_belief,0.0067499999999999965,0.004729808027690176,0.008887013038106743,1748,2000,20
TeRDy,ICEWS05-15,joint80_gate_minus_belief,-0.009583333333333333,-0.01146704813143546,-0.007588647778472101,1748,2000,20
