selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
max_probability,0.1922261951113012,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.227668240737063,0.2181867947052937,0.0689999999999999,0.0,0.0,0.0,0.0,0.0,0.095,0.0357894736842104,0.142,0.0,0.0,0.0,0.0,0.0,0.3236,0.1106304079110012,,0,TeRDy,ICEWS14
candidate_probability,0.1922403874167988,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.2276352974147615,0.2178418312316083,0.0689999999999999,0.0,0.0,0.0,0.0,0.0,0.095,0.0357894736842104,0.142,0.0,0.0,0.0,0.0,0.0,0.3236,0.1106304079110012,,0,TeRDy,ICEWS14
neural_margin,0.195937891584956,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,,,0.0709999999999999,0.0,0.0,0.0,0.0,0.0,0.0948,0.0358649789029535,0.1424999999999999,0.0,0.0,0.0,0.0,0.0,0.3218,0.1143567433188316,,0,TeRDy,ICEWS14
negative_entropy,0.1883959681377815,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,,,0.0689999999999999,0.0,0.0,0.0,0.0,0.0,0.0978,0.034764826175869,0.138,0.0,0.0,0.0,0.0,0.0,0.3286,0.1125989044430919,,0,TeRDy,ICEWS14
hybrid_max,0.2116379325429624,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.2164127873387781,0.1859324677655341,0.127,0.0,0.0,0.0,0.0,0.0,0.0878,0.0592255125284738,0.178,0.0,0.0,0.0,0.0,0.0,0.2594,0.1518889745566692,,0,TeRDy,ICEWS14
hybrid_margin,0.2151346697351469,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,,,0.123,0.0,0.0,0.0,0.0,0.0,0.0874,0.0594965675057208,0.1815,0.0,0.0,0.0,0.0,0.0,0.2776,0.1671469740634006,,0,TeRDy,ICEWS14
Probability calibration,0.2116379325429624,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.1810919121717571,0.0370594800090901,0.127,0.0,0.0,0.0,0.0,0.0,0.0878,0.0592255125284738,0.178,0.0,0.0,0.0,0.0,0.0,0.2594,0.1518889745566692,,0,TeRDy,ICEWS14
Score calibration,0.1906114351350319,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.1702237581865863,0.0535876051023036,0.062,0.0,0.0,0.0,0.0,0.0,0.1188,0.042087542087542,0.137,0.0,0.0,0.0,0.0,0.0,0.3342,0.1125074805505684,,0,TeRDy,ICEWS14
Evidence calibration,0.2036356793098037,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.1694774622597745,0.0374873605489037,0.1159999999999999,0.0,0.0,0.0,0.0,0.0,0.2852,0.1318373071528752,0.1374999999999999,0.0,0.0,0.0,0.0,0.0,0.3938,0.1345860843067546,,0,TeRDy,ICEWS14
Certificate calibration,0.2056207232482499,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.1694076564209256,0.0377184777711124,0.13,0.0,0.0,0.0,0.0,0.0,0.2966,0.1321645313553607,0.135,0.0,0.0,0.0,0.0,0.0,0.401,0.1346633416458853,,0,TeRDy,ICEWS14
Ensemble calibration,0.1837901105872006,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.161738276468538,0.0261752437132513,0.0769999999999999,0.0,0.0,0.0,0.0,0.0,0.123,0.0422764227642276,0.1274999999999999,0.0,0.0,0.0,0.0,0.0,0.3784,0.1215644820295983,,0,TeRDy,ICEWS14
ensemble_probability,0.1838488892711402,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.1622580735015731,0.0229054833242434,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.1172,0.0409556313993174,0.1284999999999999,0.0,0.0,0.0,0.0,0.0,0.375,0.1216,,0,TeRDy,ICEWS14
Temperature scaling,0.1844608822704087,0.662828826823945,0.5817678465493376,0.7118845165117659,0.8147122800079099,0.6641440822679916,0.5811746094522444,0.717025904686573,0.8176784654933755,0.1636959054052342,0.0343107039932424,0.0649999999999999,0.0,0.0,0.0,0.0,0.0,0.1082,0.0369685767097967,0.1264999999999999,0.0,0.0,0.0,0.0,0.0,0.372,0.1193548387096774,,0,TeRDy,ICEWS14
