model,dataset,comparison,estimate,ci_low,ci_high,valid_replicates,replicates,time_blocks
TeRDy,ICEWS14,mrr_gain,-0.0010623517491803716,-0.0021283264330112413,4.514709840248756e-06,2000,2000,20
TeRDy,ICEWS14,accuracy_gain,6.66666666666667e-05,-0.0013529432975873138,0.0018224339760994008,2000,2000,20
TeRDy,ICEWS14,aurc_certificate_minus_best,0.008156558010479672,0.006327355414483276,0.010073031075648256,2000,2000,20
TeRDy,ICEWS14,certified_coverage,0.9675333333333334,0.9625317184017027,0.9720713573817835,2000,2000,20
TeRDy,ICEWS14,risk20_certificate_minus_best,0.01833333333333333,0.013429353670230747,0.023593003868512343,2000,2000,20
TeRDy,ICEWS14,risk20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,joint20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,risk40_certificate_minus_best,0.0021666666666666687,-0.0006728150172113804,0.006842195338266672,2000,2000,20
TeRDy,ICEWS14,risk40_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,joint40_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,risk80_certificate_minus_best,-8.333333333334265e-05,-0.0015961471719123713,0.001683941997159663,2000,2000,20
TeRDy,ICEWS14,risk80_gate_minus_belief,-0.0002500000000000095,-0.001865205602612111,0.0015692981156513223,2000,2000,20
TeRDy,ICEWS14,joint80_gate_minus_belief,-0.0028333333333333357,-0.004191282330568516,-0.001420655451466791,2000,2000,20
