model,dataset,comparison,estimate,ci_low,ci_high,valid_replicates,replicates,time_blocks
TemporalComplEx,ICEWS05-15,mrr_gain,0.0505293179872372,0.04293121778474709,0.05759815494761403,2000,2000,20
TemporalComplEx,ICEWS05-15,accuracy_gain,0.063,0.05295443698312659,0.07248495172037228,2000,2000,20
TemporalComplEx,ICEWS05-15,aurc_certificate_minus_best,0.0025373414358356903,-0.0026961734977561176,0.00821650500086779,2000,2000,20
TemporalComplEx,ICEWS05-15,certified_coverage,0.5514,0.5323447768512295,0.5720655388319715,2000,2000,20
TemporalComplEx,ICEWS05-15,risk20_certificate_minus_best,0.0,-0.014697388878051075,0.012037137984000305,2000,2000,20
TemporalComplEx,ICEWS05-15,risk20_gate_minus_belief,0.0,0.0,0.00033806626098714654,2000,2000,20
TemporalComplEx,ICEWS05-15,joint20_gate_minus_belief,0.0,-0.0006673340006673284,0.0,2000,2000,20
TemporalComplEx,ICEWS05-15,risk40_certificate_minus_best,0.018166666666666626,0.0065358656025224105,0.028289691616058016,2000,2000,20
TemporalComplEx,ICEWS05-15,risk40_gate_minus_belief,0.012833333333333344,0.005763596033944377,0.022147292715743422,2000,2000,20
TemporalComplEx,ICEWS05-15,joint40_gate_minus_belief,-0.0405,-0.044271987421793516,-0.035893210535158274,2000,2000,20
TemporalComplEx,ICEWS05-15,risk80_certificate_minus_best,0.006166666666666616,0.0033003300330033034,0.009911498698216765,2000,2000,20
TemporalComplEx,ICEWS05-15,risk80_gate_minus_belief,,,,0,2000,20
TemporalComplEx,ICEWS05-15,joint80_gate_minus_belief,,,,0,2000,20
