model,dataset,comparison,estimate,ci_low,ci_high,valid_replicates,replicates,time_blocks
TemporalComplEx,ICEWS14,mrr_gain,0.06322952683512593,0.05584734964552161,0.07137618223687503,2000,2000,20
TemporalComplEx,ICEWS14,accuracy_gain,0.07,0.0599258137767925,0.0820342720096694,2000,2000,20
TemporalComplEx,ICEWS14,aurc_certificate_minus_best,0.03572179171965043,0.02825256156029838,0.04259932070761853,2000,2000,20
TemporalComplEx,ICEWS14,certified_coverage,0.5916,0.566926302228899,0.6198622826098011,2000,2000,20
TemporalComplEx,ICEWS14,risk20_certificate_minus_best,0.025000000000000005,0.008954336346020147,0.04076931601136534,2000,2000,20
TemporalComplEx,ICEWS14,risk20_gate_minus_belief,0.0006666666666666673,-0.001278673075810477,0.004132297121106998,2000,2000,20
TemporalComplEx,ICEWS14,joint20_gate_minus_belief,-0.003333333333333336,-0.005736663086287154,-0.0006403944973919575,2000,2000,20
TemporalComplEx,ICEWS14,risk40_certificate_minus_best,0.06983333333333334,0.05471886490450846,0.08170217174285657,2000,2000,20
TemporalComplEx,ICEWS14,risk40_gate_minus_belief,0.013499999999999956,-0.0022354252178813736,0.03175546524848802,2000,2000,20
TemporalComplEx,ICEWS14,joint40_gate_minus_belief,-0.1106666666666667,-0.12893085815485517,-0.09362813974944575,2000,2000,20
TemporalComplEx,ICEWS14,risk80_certificate_minus_best,0.008499999999999988,0.003876736652571198,0.013845194728315751,2000,2000,20
TemporalComplEx,ICEWS14,risk80_gate_minus_belief,,,,0,2000,20
TemporalComplEx,ICEWS14,joint80_gate_minus_belief,,,,0,2000,20
