model,dataset,outcome,margin_auc,certificate_auc,auc_gain,ci_low,ci_high,valid_replicates,positive_cases,queries_times_seeds
TemporalComplEx,ICEWS05-15,random_flip2,0.4595107710313746,0.8471761911982457,0.3876654201668711,0.3715148993659008,0.4039868957250844,2000,4662,15000
TemporalComplEx,ICEWS05-15,shifted_flip,0.5930148973591574,0.9737324532727706,0.3807175559136132,0.3643211508705504,0.3963726889808113,2000,6647,15000
TemporalComplEx,ICEWS05-15,wide_flip,0.5947024856211305,0.982247863203832,0.3875453775827014,0.3712159949951178,0.4041693479070545,2000,6912,15000
TemporalComplEx,ICEWS05-15,event_flip,0.574897780656693,0.9569293704841048,0.3820315898274118,0.3672067650904175,0.3965391582339463,2000,5966,15000
TemporalComplEx,ICEWS14,random_flip2,0.3476357130681962,0.903337681174735,0.5557019681065388,0.5266221321429329,0.5866814368115818,2000,6145,15000
TemporalComplEx,ICEWS14,shifted_flip,0.3898264120699609,0.9569352673054308,0.5671088552354699,0.5378510579351696,0.6003138694138962,2000,6204,15000
TemporalComplEx,ICEWS14,wide_flip,0.3854206330005039,0.9692181812559234,0.5837975482554195,0.5513997246305705,0.6187198560241401,2000,6370,15000
TemporalComplEx,ICEWS14,event_flip,0.4068604038994061,0.9566359794827926,0.5497755755833864,0.5198277226966126,0.5843476261043129,2000,5415,15000
TeRDy,ICEWS05-15,random_flip2,0.8212516989637039,0.9697594783536252,0.1485077793899214,0.1386298381896063,0.1576283723255213,2000,1270,15000
TeRDy,ICEWS05-15,shifted_flip,0.8509527234908486,0.9921271603393136,0.1411744368484649,0.133460345173176,0.1478762811014324,2000,1593,15000
TeRDy,ICEWS05-15,wide_flip,0.8526696155135751,0.9920077600949074,0.1393381445813323,0.1321456907277186,0.145858289174086,2000,1659,15000
TeRDy,ICEWS05-15,event_flip,0.8268916380174337,0.9867087767481167,0.1598171387306831,0.1528743183439592,0.1673480734140027,2000,1303,15000
TeRDy,ICEWS14,random_flip2,0.9262571740128558,0.990631169651056,0.0643739956382002,0.0565176557123963,0.0735389269433403,2000,480,15000
TeRDy,ICEWS14,shifted_flip,0.9266785320160692,0.996637577302928,0.0699590452868588,0.0614315397775339,0.0787527862996732,2000,494,15000
TeRDy,ICEWS14,wide_flip,0.926849196604878,0.9981186208266029,0.0712694242217248,0.0634162804513005,0.0795030475166304,2000,503,15000
TeRDy,ICEWS14,event_flip,0.9181795127028513,0.993710653377996,0.0755311406751448,0.06696673985558,0.0842314346947927,2000,415,15000
