model,dataset,comparison,estimate,ci_low,ci_high,valid_replicates,replicates,time_blocks
TemporalComplEx,ICEWS05-15,mrr_gain,0.0505293179872372,0.042931217784747,0.057598154947614,2000,2000,20
TemporalComplEx,ICEWS05-15,accuracy_gain,0.063,0.0529544369831265,0.0724849517203722,2000,2000,20
TemporalComplEx,ICEWS05-15,aurc_certificate_minus_best,0.0025373414358356,-0.0026961734977561,0.0082165050008677,2000,2000,20
TemporalComplEx,ICEWS05-15,certified_coverage,0.5514,0.5323447768512295,0.5720655388319715,2000,2000,20
TemporalComplEx,ICEWS05-15,risk20_certificate_minus_best,0.0,-0.014697388878051,0.0120371379840003,2000,2000,20
TemporalComplEx,ICEWS05-15,risk20_gate_minus_belief,0.0,0.0,0.0003380662609871,2000,2000,20
TemporalComplEx,ICEWS05-15,joint20_gate_minus_belief,0.0,-0.0006673340006673,0.0,2000,2000,20
TemporalComplEx,ICEWS05-15,risk40_certificate_minus_best,0.0181666666666666,0.0065358656025224,0.028289691616058,2000,2000,20
TemporalComplEx,ICEWS05-15,risk40_gate_minus_belief,0.0128333333333333,0.0057635960339443,0.0221472927157434,2000,2000,20
TemporalComplEx,ICEWS05-15,joint40_gate_minus_belief,-0.0405,-0.0442719874217935,-0.0358932105351582,2000,2000,20
TemporalComplEx,ICEWS05-15,risk80_certificate_minus_best,0.0061666666666666,0.0033003300330033,0.0099114986982167,2000,2000,20
TemporalComplEx,ICEWS05-15,risk80_gate_minus_belief,,,,0,2000,20
TemporalComplEx,ICEWS05-15,joint80_gate_minus_belief,,,,0,2000,20
TemporalComplEx,ICEWS14,mrr_gain,0.0632295268351259,0.0558473496455216,0.071376182236875,2000,2000,20
TemporalComplEx,ICEWS14,accuracy_gain,0.07,0.0599258137767925,0.0820342720096694,2000,2000,20
TemporalComplEx,ICEWS14,aurc_certificate_minus_best,0.0357217917196504,0.0282525615602983,0.0425993207076185,2000,2000,20
TemporalComplEx,ICEWS14,certified_coverage,0.5916,0.566926302228899,0.6198622826098011,2000,2000,20
TemporalComplEx,ICEWS14,risk20_certificate_minus_best,0.025,0.0089543363460201,0.0407693160113653,2000,2000,20
TemporalComplEx,ICEWS14,risk20_gate_minus_belief,0.0006666666666666,-0.0012786730758104,0.0041322971211069,2000,2000,20
TemporalComplEx,ICEWS14,joint20_gate_minus_belief,-0.0033333333333333,-0.0057366630862871,-0.0006403944973919,2000,2000,20
TemporalComplEx,ICEWS14,risk40_certificate_minus_best,0.0698333333333333,0.0547188649045084,0.0817021717428565,2000,2000,20
TemporalComplEx,ICEWS14,risk40_gate_minus_belief,0.0134999999999999,-0.0022354252178813,0.031755465248488,2000,2000,20
TemporalComplEx,ICEWS14,joint40_gate_minus_belief,-0.1106666666666667,-0.1289308581548551,-0.0936281397494457,2000,2000,20
TemporalComplEx,ICEWS14,risk80_certificate_minus_best,0.0084999999999999,0.0038767366525711,0.0138451947283157,2000,2000,20
TemporalComplEx,ICEWS14,risk80_gate_minus_belief,,,,0,2000,20
TemporalComplEx,ICEWS14,joint80_gate_minus_belief,,,,0,2000,20
TeRDy,ICEWS05-15,mrr_gain,0.0043521665392624,0.0019929772256578,0.0069095965033572,2000,2000,20
TeRDy,ICEWS05-15,accuracy_gain,0.0038,0.0006004116098368,0.0069280492674228,2000,2000,20
TeRDy,ICEWS05-15,aurc_certificate_minus_best,0.0087760005574093,0.0065894632936273,0.0111276764319233,2000,2000,20
TeRDy,ICEWS05-15,certified_coverage,0.8925333333333333,0.8838516397458197,0.9015162496632344,2000,2000,20
TeRDy,ICEWS05-15,risk20_certificate_minus_best,0.008,4.5102810375397055e-18,0.0171202703196569,2000,2000,20
TeRDy,ICEWS05-15,risk20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS05-15,joint20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS05-15,risk40_certificate_minus_best,0.0103333333333333,0.0032437943815705,0.0159634520988794,2000,2000,20
TeRDy,ICEWS05-15,risk40_gate_minus_belief,-0.0001666666666666,-0.0003542059407958,0.0004975124378109,2000,2000,20
TeRDy,ICEWS05-15,joint40_gate_minus_belief,-0.0003333333333333,-0.0010209812668658,0.0,2000,2000,20
TeRDy,ICEWS05-15,risk80_certificate_minus_best,0.0046666666666666,0.0013318935649032,0.0078031972826267,2000,2000,20
TeRDy,ICEWS05-15,risk80_gate_minus_belief,0.0067499999999999,0.0047298080276901,0.0088870130381067,1748,2000,20
TeRDy,ICEWS05-15,joint80_gate_minus_belief,-0.0095833333333333,-0.0114670481314354,-0.0075886477784721,1748,2000,20
TeRDy,ICEWS14,mrr_gain,-0.0010623517491803,-0.0021283264330112,4.514709840248756e-06,2000,2000,20
TeRDy,ICEWS14,accuracy_gain,6.66666666666667e-05,-0.0013529432975873,0.0018224339760994,2000,2000,20
TeRDy,ICEWS14,aurc_certificate_minus_best,0.0081565580104796,0.0063273554144832,0.0100730310756482,2000,2000,20
TeRDy,ICEWS14,certified_coverage,0.9675333333333334,0.9625317184017028,0.9720713573817836,2000,2000,20
TeRDy,ICEWS14,risk20_certificate_minus_best,0.0183333333333333,0.0134293536702307,0.0235930038685123,2000,2000,20
TeRDy,ICEWS14,risk20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,joint20_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,risk40_certificate_minus_best,0.0021666666666666,-0.0006728150172113,0.0068421953382666,2000,2000,20
TeRDy,ICEWS14,risk40_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,joint40_gate_minus_belief,0.0,0.0,0.0,2000,2000,20
TeRDy,ICEWS14,risk80_certificate_minus_best,-8.333333333334265e-05,-0.0015961471719123,0.0016839419971596,2000,2000,20
TeRDy,ICEWS14,risk80_gate_minus_belief,-0.00025,-0.0018652056026121,0.0015692981156513,2000,2000,20
TeRDy,ICEWS14,joint80_gate_minus_belief,-0.0028333333333333,-0.0041912823305685,-0.0014206554514667,2000,2000,20
