,,,aurc,aurc,mrr,mrr,hits1,hits1,hits3,hits3,hits10,hits10,neural_mrr,neural_mrr,neural_hits1,neural_hits1,neural_hits3,neural_hits3,neural_hits10,neural_hits10,brier,brier,ece,ece,risk20,risk20,worst_flip1_20,worst_flip1_20,random_flip2_20,random_flip2_20,shifted_flip_20,shifted_flip_20,wide_flip_20,wide_flip_20,event_flip_20,event_flip_20,deployed_coverage20,deployed_coverage20,deployed_risk20,deployed_risk20,risk40,risk40,worst_flip1_40,worst_flip1_40,random_flip2_40,random_flip2_40,shifted_flip_40,shifted_flip_40,wide_flip_40,wide_flip_40,event_flip_40,event_flip_40,deployed_coverage40,deployed_coverage40,deployed_risk40,deployed_risk40,certified_coverage,certified_coverage
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,dataset,selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeRDy,ICEWS05-15,Certificate calibration,0.23805682775291356,0.006880478481993798,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18221591785409907,0.003486269315401877,0.028631646470077265,0.0024330608147621912,0.0979999999999999,0.00953939201416946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618666666666667,0.008947252837230723,0.12709271220430585,0.008911132999717948,0.18916666666666662,0.003818813079129861,0.00016666666666666666,0.0002886751345948129,0.0,0.0,0.00016666666666666666,0.0002886751345948129,0.00016666666666666666,0.0002886751345948129,0.00016666666666666666,0.0002886751345948129,0.5086,0.011984990613262924,0.2392343317649358,0.008393372607401098,,
TeRDy,ICEWS05-15,Certified 1-window,,,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,,,,,0.10066666666666657,0.01222020185321557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25106666666666666,0.006312949653952066,0.11819796463642533,0.013749071778775646,0.1868333333333333,0.005204164998665292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008666666666667,0.002663331247391785,0.23799534800346903,0.002708431646198643,0.8925333333333333,0.07217127775876858
TeRDy,ICEWS05-15,Certified 2-window,,,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,,,,,0.10066666666666657,0.01222020185321557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25106666666666666,0.006312949653952066,0.11819796463642533,0.013749071778775646,0.1868333333333333,0.005204164998665292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49953333333333333,0.004041451884327417,0.2371605187246202,0.0031019299794639963,0.8608666666666668,0.08822478865564558
TeRDy,ICEWS05-15,Ensemble calibration,0.22846319467861967,0.001984721262361206,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.1752359019046006,0.00761601905775584,0.029964117570341134,0.0043337322815277255,0.09033333333333322,0.002081665999466134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604,0.00332866339541863,0.11722838247141538,0.0035148261626043557,0.17583333333333329,0.005859465277082342,0.0014999999999999998,0.002598076211353316,0.0003125,0.000541265877365274,0.0013333333333333333,0.002309401076758503,0.0014999999999999998,0.002598076211353316,0.0014999999999999998,0.002598076211353316,0.5081333333333333,0.009928410413219891,0.2263492545467797,0.007821744716499967,,
TeRDy,ICEWS05-15,Evidence calibration,0.23712181406844937,0.0070475240784793995,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18216989926447766,0.0034105725722657428,0.030607322393833,0.0033486137661634208,0.10099999999999991,0.010583005244258365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698,0.010535653752852748,0.12821800362697203,0.01063667659507957,0.18749999999999997,0.005894913061275786,0.0003333333333333333,0.0005773502691896258,4.1666666666666665e-05,7.216878364870322e-05,0.0003333333333333333,0.0005773502691896258,0.0003333333333333333,0.0005773502691896258,0.0003333333333333333,0.0005773502691896258,0.513,0.0015874507866388,0.24302226024210147,0.003562112059116342,,
TeRDy,ICEWS05-15,Probability calibration,0.23825494575326314,0.008888405337523518,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.182980085549634,0.0015091648430533542,0.028424701093058963,0.0063500932234166994,0.10133333333333323,0.010598742063723103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24339999999999998,0.0071358251099645055,0.1177936869972402,0.011600988060735826,0.18666666666666668,0.004907477288111821,0.0013333333333333333,0.002309401076758503,0.00047916666666666664,0.0008299410119600871,0.0013333333333333333,0.002309401076758503,0.0013333333333333333,0.002309401076758503,0.0013333333333333333,0.002309401076758503,0.49033333333333334,0.014505631090488049,0.23450911128225208,0.0017571461723909533,,
TeRDy,ICEWS05-15,Score calibration,0.23661441053330998,0.00687805241643627,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18224745021870384,0.0037202831503962354,0.03228173302812377,0.0032428696044858843,0.10099999999999991,0.01178982612255159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.005047771785649594,0.12103281609113149,0.009826711402775632,0.18833333333333332,0.003253203549323862,0.0003333333333333333,0.0005773502691896258,4.1666666666666665e-05,7.216878364870322e-05,0.0003333333333333333,0.0005773502691896258,0.0003333333333333333,0.0005773502691896258,0.0003333333333333333,0.0005773502691896258,0.5082,0.010888526071052935,0.2407161430686435,0.0003600293219580864,,
TeRDy,ICEWS05-15,Temperature scaling,0.23730124163844638,0.007215276125671894,0.6328483963352926,0.009173152926152414,0.5344418052256531,0.012460879442230514,0.6933227764581683,0.008200446066962894,0.8163763525996305,0.002863886832173569,0.6284962297960303,0.006953422786232515,0.5304169965690155,0.009176742491799289,0.6896278701504355,0.006287561430826837,0.8097123251517551,0.003156736266536203,0.18507857052256238,0.0032841291864275143,0.053405056600853734,0.0062312837715656905,0.09999999999999991,0.009539392014169461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2554,0.00711055553385246,0.12354949126668387,0.0106436558651149,0.19033333333333333,0.0030138568866708627,0.0005,0.0008660254037844387,0.000125,0.00021650635094610967,0.0005,0.0008660254037844387,0.0005,0.0008660254037844387,0.0006666666666666666,0.0011547005383792516,0.5055333333333333,0.003716629297271048,0.2429420036252773,0.006203571694834374,,
