dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
GDELT,insert,1,0,9741,2308166,2.7755575615628914e-17,0,1317.55859375,0.1507,0.0166,0.1341,1,1,247.8025,0.0088,247.7937,9741,1
GDELT,insert,1,1,9741,2308167,5.551115123125783e-17,0,1318.48046875,0.536,0.0193,0.5167,1,1,227.9699,0.0127,227.9572,9741,1
GDELT,insert,1,2,9741,2308168,5.551115123125783e-17,0,1318.8203125,0.2047,0.0148,0.1899,1,1,228.3131,0.007,228.3061,9741,1
GDELT,insert,1,3,9741,2308169,5.551115123125783e-17,0,1318.828125,0.3194,0.0221,0.2973,1,1,221.536,0.017,221.519,9741,1
GDELT,insert,1,4,9741,2308170,5.551115123125783e-17,0,1318.87890625,0.3021,0.0098,0.2923,1,1,224.2323,0.0077,224.2246,9741,1
GDELT,insert,1,5,9741,2308171,8.326672684688674e-17,0,1318.87890625,0.1235,0.0145,0.109,1,1,221.7093,0.0146,221.6947,9741,1
GDELT,insert,1,6,9741,2308172,8.326672684688674e-17,0,1318.87890625,0.2235,0.0092,0.2143,1,1,223.9579,0.0071,223.9508,9741,1
GDELT,insert,1,7,9741,2308173,8.326672684688674e-17,0,1318.87890625,0.1783,0.0122,0.1661,1,1,222.8699,0.012,222.8579,9741,1
GDELT,insert,1,8,9741,2308174,8.326672684688674e-17,0,1318.87890625,0.116,0.009,0.107,1,1,215.2931,0.0086,215.2845,9741,1
GDELT,insert,1,9,9741,2308175,8.326672684688674e-17,0,1318.87890625,0.108,0.0122,0.0958,1,1,210.549,0.0136,210.5354,9741,1
GDELT,insert,10,0,9741,2308185,8.326672684688674e-17,0,1318.9375,0.6109,0.047,0.5639,10,10,218.1705,0.0341,218.1364,9741,10
GDELT,insert,10,1,9741,2308195,8.326672684688674e-17,0,1318.9375,0.6689,0.0511,0.6178,10,10,227.4909,0.0433,227.4476,9741,10
GDELT,insert,10,2,9741,2308205,8.326672684688674e-17,0,1318.94140625,0.6147,0.0402,0.5745,10,10,235.8031,0.0333,235.7698,9741,10
GDELT,insert,10,3,9741,2308215,8.326672684688674e-17,0,1318.94140625,0.6197,0.0738,0.5459,10,10,229.9873,0.0443,229.943,9741,10
GDELT,insert,10,4,9741,2308225,8.326672684688674e-17,0,1318.9453125,0.7147,0.0479,0.6668,10,10,227.77,0.0348,227.7352,9741,10
GDELT,insert,10,5,9741,2308235,8.326672684688674e-17,0,1318.9453125,0.6271,0.0549,0.5722,10,10,227.2373,0.0474,227.1899,9741,10
GDELT,insert,10,6,9741,2308245,8.326672684688674e-17,0,1318.9453125,0.9077,0.0425,0.8652,10,10,215.4984,0.0464,215.452,9741,10
GDELT,insert,10,7,9741,2308255,8.326672684688674e-17,0,1318.9453125,0.7441,0.0557,0.6884,10,10,216.5,0.0495,216.4505,9741,10
GDELT,insert,10,8,9741,2308265,8.326672684688674e-17,0,1318.95703125,0.9072,0.0438,0.8634,10,10,213.236,0.0596,213.1764,9741,10
GDELT,insert,10,9,9741,2308275,8.326672684688674e-17,0,1319.59375,0.8858,0.1339,0.7519,10,10,219.1365,0.0507,219.0858,9741,10
GDELT,insert,100,0,9741,2308375,8.326672684688674e-17,0,1319.6796875,5.3839,0.3062,5.0777,100,100,260.046,0.2899,259.7561,9741,100
GDELT,insert,100,1,9741,2308475,8.326672684688674e-17,0,1319.6875,5.4108,0.3145,5.0963,98,98,217.0437,0.3011,216.7426,9741,98
GDELT,insert,100,2,9741,2308575,8.326672684688674e-17,0,1319.76953125,5.2567,0.3599,4.8968,98,98,218.7651,0.2931,218.472,9741,98
GDELT,insert,100,3,9741,2308675,8.326672684688674e-17,0,1319.78125,6.0709,0.3092,5.7617,100,100,215.8804,0.513,215.3674,9741,100
GDELT,insert,100,4,9741,2308775,8.326672684688674e-17,0,1319.78515625,4.7053,0.2954,4.4099,96,96,219.5997,0.2876,219.3121,9741,96
GDELT,insert,100,5,9741,2308875,8.326672684688674e-17,0,1319.84765625,5.1328,0.2923,4.8405,99,99,210.9366,0.2905,210.6461,9741,99
GDELT,insert,100,6,9741,2308975,8.326672684688674e-17,0,1319.91015625,4.9017,0.2807,4.621,97,97,219.5133,0.2809,219.2324,9741,97
GDELT,insert,100,7,9741,2309075,8.326672684688674e-17,0,1319.91015625,5.8104,0.3254,5.485,98,98,227.6025,0.2809,227.3216,9741,98
GDELT,insert,100,8,9741,2309175,8.326672684688674e-17,0,1319.97265625,4.8236,0.2913,4.5323,98,98,221.7397,0.3109,221.4288,9741,98
GDELT,insert,100,9,9741,2309275,8.326672684688674e-17,0,1319.97265625,6.3433,0.3457,5.9976,98,98,228.6532,0.2813,228.3719,9741,98
GDELT,insert,1000,0,9741,2310275,8.326672684688674e-17,0,1320.3046875,42.6207,2.6553,39.9654,848,848,229.1369,2.6189,226.518,9741,848
GDELT,insert,1000,1,9741,2311275,8.326672684688674e-17,0,1320.5546875,41.9149,2.7002,39.2147,829,829,219.1416,2.4574,216.6842,9741,829
GDELT,insert,1000,2,9741,2312275,8.326672684688674e-17,0,1320.8125,42.0102,2.5229,39.4873,847,847,229.7244,2.8087,226.9157,9741,847
GDELT,insert,1000,3,9741,2313275,8.326672684688674e-17,0,1321.36328125,43.5353,2.6644,40.8709,837,837,232.0924,2.5086,229.5838,9741,837
GDELT,insert,1000,4,9741,2314275,8.326672684688674e-17,0,1321.64453125,42.3272,2.5907,39.7365,835,835,226.0147,4.0092,222.0055,9741,835
GDELT,insert,1000,5,9741,2315275,8.326672684688674e-17,0,1321.76953125,40.8917,2.5131,38.3786,837,837,226.2777,2.8916,223.3861,9741,837
