dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS05-15,insert,1,0,51292,368963,0.0,0,399.0546875,0.1219,0.0122,0.1097,1,1,321.2902,0.0065,321.2837,51292,1
ICEWS05-15,insert,1,1,51292,368964,0.0,0,401.2265625,0.1662,0.0182,0.148,1,1,333.9197,0.0121,333.9076,51292,1
ICEWS05-15,insert,1,2,51292,368965,0.0,0,403.51953125,0.1307,0.0134,0.1173,1,1,331.2897,0.0065,331.2832,51292,1
ICEWS05-15,insert,1,3,51292,368966,5.551115123125783e-17,0,404.828125,0.148,0.0153,0.1327,1,1,322.4076,0.0151,322.3925,51292,1
ICEWS05-15,insert,1,4,51292,368967,5.551115123125783e-17,0,404.77734375,0.1233,0.0122,0.1111,1,1,339.2257,0.0056,339.2201,51292,1
ICEWS05-15,insert,1,5,51292,368968,5.551115123125783e-17,0,410.0859375,0.144,0.0154,0.1286,1,1,449.0393,0.014,449.0253,51292,1
ICEWS05-15,insert,1,6,51292,368969,5.551115123125783e-17,0,408.08984375,0.0991,0.0101,0.089,1,1,327.3264,0.005,327.3214,51292,1
ICEWS05-15,insert,1,7,51292,368970,5.551115123125783e-17,0,410.15234375,0.1478,0.0206,0.1272,1,1,335.0241,0.027,334.9971,51292,1
ICEWS05-15,insert,1,8,51292,368971,5.551115123125783e-17,0,410.96875,0.149,0.0169,0.1321,1,1,312.9789,0.0075,312.9714,51292,1
ICEWS05-15,insert,1,9,51292,368972,5.551115123125783e-17,0,411.98046875,0.1693,0.022,0.1473,1,1,314.4889,0.016,314.4729,51292,1
ICEWS05-15,insert,10,0,51292,368982,5.551115123125783e-17,0,412.90234375,0.3868,0.0399,0.3469,9,9,326.4091,0.0404,326.3687,51292,9
ICEWS05-15,insert,10,1,51292,368992,5.551115123125783e-17,0,412.3203125,0.4122,0.0576,0.3546,10,10,429.3835,0.0496,429.3339,51292,10
ICEWS05-15,insert,10,2,51292,369002,5.551115123125783e-17,0,411.70703125,0.3688,0.0473,0.3215,10,10,326.8948,0.0363,326.8585,51292,10
ICEWS05-15,insert,10,3,51292,369012,5.551115123125783e-17,0,411.7265625,0.4895,0.0555,0.434,9,9,330.9574,0.0487,330.9087,51292,9
ICEWS05-15,insert,10,4,51292,369022,1.1102230246251565e-16,0,411.71484375,0.3889,0.0459,0.343,10,10,324.0832,0.0343,324.0489,51292,10
ICEWS05-15,insert,10,5,51292,369032,1.1102230246251565e-16,0,412.15234375,0.4037,0.0572,0.3465,10,10,319.4223,0.051,319.3713,51292,10
ICEWS05-15,insert,10,6,51292,369042,1.1102230246251565e-16,0,411.73828125,0.3847,0.0461,0.3386,10,10,324.0524,0.0357,324.0167,51292,10
ICEWS05-15,insert,10,7,51292,369052,1.1102230246251565e-16,0,412.359375,0.5266,0.0689,0.4577,10,10,428.9247,0.0463,428.8784,51292,10
ICEWS05-15,insert,10,8,51292,369062,1.1102230246251565e-16,0,412.65234375,0.2458,0.0454,0.2004,10,10,334.5139,0.0299,334.484,51292,10
ICEWS05-15,insert,10,9,51292,369072,1.1102230246251565e-16,0,412.2265625,0.5008,0.0564,0.4444,10,10,336.6882,0.0448,336.6434,51292,10
ICEWS05-15,insert,100,0,51292,369172,1.1102230246251565e-16,0,411.77734375,2.6571,0.2965,2.3606,98,98,334.8012,0.2847,334.5165,51292,98
ICEWS05-15,insert,100,1,51292,369272,1.1102230246251565e-16,0,411.94921875,2.195,0.3182,1.8768,98,98,327.114,0.3387,326.7753,51292,98
ICEWS05-15,insert,100,2,51292,369372,1.1102230246251565e-16,0,411.8203125,2.3817,0.2973,2.0844,97,97,323.7113,0.2957,323.4156,51292,97
ICEWS05-15,insert,100,3,51292,369472,1.1102230246251565e-16,0,412.6484375,2.6056,0.3401,2.2655,97,97,433.2753,0.301,432.9743,51292,97
ICEWS05-15,insert,100,4,51292,369572,1.1102230246251565e-16,0,411.453125,2.3969,0.3168,2.0801,96,96,338.2514,0.2859,337.9655,51292,96
ICEWS05-15,insert,100,5,51292,369672,1.1102230246251565e-16,0,411.98046875,2.6948,0.3176,2.3772,98,98,338.7839,0.3327,338.4512,51292,98
ICEWS05-15,insert,100,6,51292,369772,1.1102230246251565e-16,0,412.23828125,2.3993,0.3091,2.0902,98,98,333.1472,0.2851,332.8621,51292,98
ICEWS05-15,insert,100,7,51292,369872,1.1102230246251565e-16,0,412.64453125,2.6826,0.3647,2.3179,95,95,350.3437,0.2805,350.0632,51292,95
ICEWS05-15,insert,100,8,51292,369972,1.1102230246251565e-16,0,412.11328125,2.6744,0.3584,2.316,95,95,330.8135,0.3107,330.5028,51292,95
ICEWS05-15,insert,100,9,51292,370072,1.1102230246251565e-16,0,412.90625,2.5918,0.3223,2.2695,95,95,438.3235,0.3193,438.0042,51292,95
ICEWS05-15,insert,1000,0,51292,371072,1.1102230246251565e-16,0,413.48046875,16.2984,2.5921,13.7063,806,806,333.9849,2.6807,331.3042,51292,806
ICEWS05-15,insert,1000,1,51292,372072,5.551115123125783e-17,0,413.98046875,15.6035,2.955,12.6485,809,809,330.267,2.4173,327.8497,51292,809
ICEWS05-15,insert,1000,2,51292,373072,5.551115123125783e-17,0,414.10546875,15.8069,2.4023,13.4046,805,805,330.4201,2.4713,327.9488,51292,805
ICEWS05-15,insert,1000,3,51292,374072,5.551115123125783e-17,0,415.32421875,16.0291,3.3448,12.6843,818,818,334.2198,2.542,331.6778,51292,818
ICEWS05-15,insert,1000,4,51292,375072,5.551115123125783e-17,0,415.30078125,15.5933,2.4101,13.1832,811,811,347.4229,2.5789,344.844,51292,811
ICEWS05-15,insert,1000,5,51292,376072,5.551115123125783e-17,0,415.46875,130.5299,2.6073,127.9226,787,787,348.7661,2.425,346.3411,51292,787
ICEWS05-15,insert,1000,6,51292,377072,5.551115123125783e-17,0,415.015625,15.2879,2.4104,12.8775,788,788,337.1246,2.4056,334.719,51292,788
ICEWS05-15,insert,1000,7,51292,378072,5.551115123125783e-17,0,416.0859375,16.7242,2.8349,13.8893,790,790,362.9091,3.684,359.2251,51292,790
ICEWS05-15,insert,1000,8,51292,379072,5.551115123125783e-17,0,416.53125,15.835,2.5416,13.2934,804,804,331.9482,2.5179,329.4303,51292,804
ICEWS05-15,insert,1000,9,51292,380072,5.551115123125783e-17,0,416.76953125,16.3377,3.0729,13.2648,800,800,330.9698,2.4096,328.5602,51292,800
ICEWS05-15,delete,1,0,51292,380071,5.551115123125783e-17,0,417.7890625,0.1304,0.012,0.1184,1,1,336.9116,0.009,336.9026,51292,1
ICEWS05-15,delete,1,1,51292,380070,5.551115123125783e-17,0,416.828125,0.2236,0.0296,0.194,1,1,336.2672,0.0194,336.2478,51292,1
ICEWS05-15,delete,1,2,51292,380069,1.1102230246251565e-16,0,417.578125,0.1136,0.0153,0.0983,1,1,439.3945,0.0098,439.3847,51292,1
ICEWS05-15,delete,1,3,51292,380068,1.1102230246251565e-16,0,416.9296875,0.214,0.0347,0.1793,1,1,337.7725,0.0229,337.7496,51292,1
ICEWS05-15,delete,1,4,51292,380067,1.1102230246251565e-16,0,416.58203125,0.1242,0.0164,0.1078,1,1,335.503,0.0077,335.4953,51292,1
ICEWS05-15,delete,1,5,51292,380066,1.1102230246251565e-16,0,416.625,0.1794,0.0221,0.1573,1,1,331.4889,0.0144,331.4745,51292,1
ICEWS05-15,delete,1,6,51292,380065,1.1102230246251565e-16,0,416.609375,0.1313,0.015,0.1163,1,1,330.6232,0.0082,330.615,51292,1
ICEWS05-15,delete,1,7,51292,380064,1.1102230246251565e-16,0,416.96484375,0.1819,0.0254,0.1565,1,1,442.6147,0.017,442.5977,51292,1
ICEWS05-15,delete,1,8,51292,380063,1.1102230246251565e-16,0,416.2265625,0.1254,0.0162,0.1092,1,1,327.0151,0.0083,327.0068,51292,1
ICEWS05-15,delete,1,9,51292,380062,1.1102230246251565e-16,0,416.984375,0.1751,0.0302,0.1449,1,1,324.8852,0.0221,324.8631,51292,1
ICEWS05-15,delete,10,0,51292,380052,1.1102230246251565e-16,0,416.4296875,0.6852,0.1337,0.5515,10,10,326.3466,0.1355,326.2111,51292,10
ICEWS05-15,delete,10,1,51292,380042,1.1102230246251565e-16,0,416.58203125,0.5173,0.0808,0.4365,10,10,333.4198,0.0674,333.3524,51292,10
ICEWS05-15,delete,10,2,51292,380032,1.1102230246251565e-16,0,416.9609375,0.4799,0.1224,0.3575,10,10,329.1478,0.1109,329.0369,51292,10
ICEWS05-15,delete,10,3,51292,380022,1.1102230246251565e-16,0,416.97265625,0.3812,0.0772,0.304,10,10,440.5023,0.058,440.4443,51292,10
ICEWS05-15,delete,10,4,51292,380012,1.1102230246251565e-16,0,416.63671875,0.5123,0.1082,0.4041,10,10,325.8282,0.1027,325.7255,51292,10
ICEWS05-15,delete,10,5,51292,380002,1.1102230246251565e-16,0,416.58203125,0.8248,0.289,0.5358,10,10,329.9347,0.0874,329.8473,51292,10
ICEWS05-15,delete,10,6,51292,379992,1.1102230246251565e-16,0,416.2421875,0.3572,0.07,0.2872,10,10,334.5225,0.0707,334.4518,51292,10
ICEWS05-15,delete,10,7,51292,379982,1.1102230246251565e-16,0,416.1875,0.4001,0.0845,0.3156,10,10,336.1119,0.0563,336.0556,51292,10
ICEWS05-15,delete,10,8,51292,379972,1.1102230246251565e-16,0,416.2421875,0.4172,0.0917,0.3255,10,10,327.6102,0.089,327.5212,51292,10
