dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS14,insert,1,0,21667,72827,0.0,0,160.7265625,0.1282,0.0173,0.1109,1,1,128.4262,0.0078,128.4184,21667,1
ICEWS14,insert,1,1,21667,72828,0.0,0,161.68359375,0.1294,0.0179,0.1115,1,1,169.9157,0.0181,169.8976,21667,1
ICEWS14,insert,1,2,21667,72829,2.7755575615628914e-17,0,162.53125,0.0865,0.0095,0.077,1,1,127.6235,0.0048,127.6187,21667,1
ICEWS14,insert,1,3,21667,72830,2.7755575615628914e-17,0,163.3125,0.1222,0.0137,0.1085,1,1,126.2088,0.0121,126.1967,21667,1
ICEWS14,insert,1,4,21667,72831,2.7755575615628914e-17,0,164.34375,0.1165,0.0126,0.1039,1,1,128.7356,0.0058,128.7298,21667,1
ICEWS14,insert,1,5,21667,72832,2.7755575615628914e-17,0,164.79296875,0.1532,0.016,0.1372,1,1,132.708,0.0115,132.6965,21667,1
ICEWS14,insert,1,6,21667,72833,2.7755575615628914e-17,0,164.58984375,0.0961,0.0158,0.0803,1,1,164.6348,0.0066,164.6282,21667,1
ICEWS14,insert,1,7,21667,72834,2.7755575615628914e-17,0,164.3671875,0.1349,0.0184,0.1165,1,1,126.8474,0.0158,126.8316,21667,1
ICEWS14,insert,1,8,21667,72835,2.7755575615628914e-17,0,164.88671875,0.0893,0.0127,0.0766,1,1,126.1588,0.0059,126.1529,21667,1
ICEWS14,insert,1,9,21667,72836,5.551115123125783e-17,0,164.3515625,0.1549,0.0212,0.1337,1,1,126.5025,0.0155,126.487,21667,1
ICEWS14,insert,10,0,21667,72846,5.551115123125783e-17,0,164.671875,0.2868,0.047,0.2398,10,10,125.8587,0.0392,125.8195,21667,10
ICEWS14,insert,10,1,21667,72856,5.551115123125783e-17,0,164.96484375,0.257,0.0488,0.2082,10,10,127.0138,0.0505,126.9633,21667,10
ICEWS14,insert,10,2,21667,72866,5.551115123125783e-17,0,164.6953125,0.2291,0.042,0.1871,10,10,167.8032,0.0338,167.7694,21667,10
ICEWS14,insert,10,3,21667,72876,1.1102230246251565e-16,0,165.05859375,0.263,0.0536,0.2094,10,10,127.8592,0.0482,127.811,21667,10
ICEWS14,insert,10,4,21667,72886,1.1102230246251565e-16,0,164.55078125,0.1924,0.0428,0.1496,10,10,129.6001,0.0323,129.5678,21667,10
ICEWS14,insert,10,5,21667,72896,1.1102230246251565e-16,0,165.0234375,0.295,0.0576,0.2374,10,10,127.2927,0.0479,127.2448,21667,10
ICEWS14,insert,10,6,21667,72906,1.1102230246251565e-16,0,164.69921875,0.252,0.0496,0.2024,10,10,129.2179,0.0357,129.1822,21667,10
ICEWS14,insert,10,7,21667,72916,1.1102230246251565e-16,0,165.03125,0.2704,0.0498,0.2206,10,10,126.0882,0.0451,126.0431,21667,10
ICEWS14,insert,10,8,21667,72926,1.1102230246251565e-16,0,164.75390625,0.1832,0.0405,0.1427,10,10,165.9706,0.0294,165.9412,21667,10
ICEWS14,insert,10,9,21667,72936,1.1102230246251565e-16,0,163.5546875,0.2603,0.0511,0.2092,10,10,126.633,0.0497,126.5833,21667,10
ICEWS14,insert,100,0,21667,73036,5.551115123125783e-17,0,165.15625,1.3036,0.2844,1.0192,99,99,132.786,1.0059,131.7801,21667,99
ICEWS14,insert,100,1,21667,73136,5.551115123125783e-17,0,165.17578125,1.2132,0.2833,0.9299,99,99,127.9892,0.279,127.7102,21667,99
ICEWS14,insert,100,2,21667,73236,5.551115123125783e-17,0,165.30078125,2.1295,0.4876,1.6419,97,97,128.4556,0.2597,128.1959,21667,97
ICEWS14,insert,100,3,21667,73336,5.551115123125783e-17,0,165.0234375,1.2797,0.2894,0.9903,100,100,126.7333,0.272,126.4613,21667,100
ICEWS14,insert,100,4,21667,73436,5.551115123125783e-17,0,165.41796875,1.5856,0.2724,1.3132,98,98,165.8157,0.262,165.5537,21667,98
