epoch,loss,seconds,nonfinite_gradient_values,validation_mrr
1,7.542974554126895,14.614911500000744,1,
2,4.773628148342997,14.189876999997068,1,
3,3.3258212192362437,14.3152209000109,1,0.5851274382262905
4,2.4029324819021993,14.413236699998379,1,
5,1.8467366977573845,14.580755599992699,1,
6,1.549275007580675,14.542662899999414,1,0.6677336767959156
7,1.387646819154285,14.588201699996716,1,
8,1.292332403354636,14.590844200007268,1,
9,1.2304230321161769,14.74232019999181,1,0.6913964707302219
10,1.1876990823650395,14.8458743999945,1,
11,1.1558385449548216,14.859365600001183,1,
12,1.1314323934298596,15.027335000006133,1,0.6949298503112844
