dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS05-15,0,margin_only,0.4959560438453623,0.1993440898368879,0.07809882146558506,0.38784067085953877,0.1908,0.46165966386554624,0.3808
ICEWS05-15,0,matched_base,0.5021422291841027,0.18898265035579753,0.034086226632855335,0.4041666666666667,0.192,0.4860335195530726,0.3938
ICEWS05-15,0,base_plus_c,0.48510140889918585,0.18101273145202684,0.034780277439134054,0.3580645161290323,0.186,0.46504401864319006,0.3862
ICEWS05-15,0,base_plus_z,0.4704054310264666,0.17348123371390764,0.01784475786242347,0.33540372670807456,0.1932,0.4299363057324841,0.3768
ICEWS05-15,0,base_plus_fd,0.48146769435851966,0.17979501467933232,0.030467811990724753,0.34759358288770054,0.187,0.45796802475502835,0.3878
ICEWS05-15,0,without_diversity,0.47065376538984566,0.17365559680426476,0.016231861080701876,0.33507306889352817,0.1916,0.4362486828240253,0.3796
ICEWS05-15,0,without_fragility,0.468759671941768,0.1728212308095071,0.016546290971043702,0.34490238611713664,0.1844,0.4293139293139293,0.3848
ICEWS05-15,0,nonredundant,0.4683875077356572,0.17267547822722562,0.014275889003520443,0.3125,0.1888,0.4325169359041167,0.3838
ICEWS05-15,0,full_original,0.46846527407140437,0.17275260280756746,0.014499770371593305,0.31735889243876464,0.1878,0.4336099585062241,0.3856
ICEWS05-15,0,base_plus_window_count,0.4713860902126391,0.17870323556300483,0.04354435047982068,0.32786885245901637,0.183,0.45902489626556015,0.3856
ICEWS05-15,0,base_plus_softmax_entropy,0.4941217714552716,0.18616636731761513,0.031220588729315584,0.38173817381738173,0.1818,0.47965412004069174,0.3932
ICEWS05-15,1,margin_only,0.49598574166953374,0.19907235637673187,0.08677813223275872,0.38318777292576417,0.1832,0.46198217094913474,0.3814
ICEWS05-15,1,matched_base,0.5009485486525528,0.18875320945270446,0.04489318461830265,0.40796555435952636,0.1858,0.48408624229979463,0.3896
ICEWS05-15,1,base_plus_c,0.484784647543563,0.18078671259951426,0.02404983941685888,0.3547368421052632,0.19,0.45878693623639194,0.3858
ICEWS05-15,1,base_plus_z,0.46930262123741395,0.17294706052956935,0.0168087638756183,0.33613445378151263,0.1904,0.43427109974424555,0.391
ICEWS05-15,1,base_plus_fd,0.48017201695908207,0.17938200588016215,0.042255735542777534,0.3514644351464435,0.1912,0.45486636409480585,0.3966
ICEWS05-15,1,without_diversity,0.46938483317739665,0.17313311314966023,0.01940541366239307,0.3119747899159664,0.1904,0.433623782675551,0.3902
ICEWS05-15,1,without_fragility,0.46757662070559564,0.17235072345793812,0.019907164817071585,0.3174431202600217,0.1846,0.4279093717816684,0.3884
ICEWS05-15,1,nonredundant,0.46752099782176537,0.1722198109684214,0.017222906812619423,0.316894018887723,0.1906,0.42990654205607476,0.3852
ICEWS05-15,1,full_original,0.4676905729706035,0.17230368111633373,0.017181669075548696,0.32012513034410844,0.1918,0.4290909090909091,0.385
ICEWS05-15,1,base_plus_window_count,0.47455130688783836,0.17933414606137496,0.038906074652718205,0.33940042826552463,0.1868,0.46169457128361235,0.3942
ICEWS05-15,1,base_plus_softmax_entropy,0.49281932995280575,0.18578287736558763,0.03866596733534488,0.38333333333333336,0.18,0.47892518440463644,0.3796
ICEWS05-15,2,margin_only,0.49596409956561577,0.19838966363026703,0.0856471834908352,0.38228941684665224,0.1852,0.45879851143009037,0.3762
