dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS14,0,margin_only,0.5681458602185004,0.16571932866795336,0.11286704502256033,0.46092184368737477,0.1996,0.543728135932034,0.4002
ICEWS14,0,matched_base,0.5859856353453358,0.15573278334835636,0.04343675864568949,0.5042826552462527,0.1868,0.5596184419713831,0.3774
ICEWS14,0,base_plus_c,0.5714285210481825,0.1506534023021595,0.02868594906728927,0.4547437295528899,0.1834,0.5426315789473685,0.38
ICEWS14,0,base_plus_z,0.5495149105196552,0.1427255935021847,0.021294991291976786,0.40334378265412746,0.1914,0.5257894736842105,0.38
ICEWS14,0,base_plus_fd,0.5698447720876635,0.15045403008455432,0.023186665755279844,0.4558189655172414,0.1856,0.5416012558869702,0.3822
ICEWS14,0,without_diversity,0.5525148438673357,0.1434017642649217,0.010489865315348887,0.4049145299145299,0.1872,0.5294421487603306,0.3872
ICEWS14,0,without_fragility,0.5482878640459443,0.1424446116433306,0.021886879303020457,0.395021645021645,0.1848,0.528388746803069,0.391
ICEWS14,0,nonredundant,0.5512782315579992,0.14324438409231655,0.013697198290357948,0.4106382978723404,0.188,0.5283213182286303,0.3884
ICEWS14,0,full_original,0.5526530066881933,0.1436867912142544,0.011826938556297423,0.4588500563697858,0.1774,0.5292897874546397,0.3858
ICEWS14,0,base_plus_window_count,0.5727844455664975,0.15219535518835484,0.04585270151973696,0.47757847533632286,0.1784,0.5462140992167102,0.383
ICEWS14,0,base_plus_softmax_entropy,0.5800860144270573,0.15418738611090857,0.03777210156449722,0.49261603375527424,0.1896,0.5513771186440678,0.3776
ICEWS14,1,margin_only,0.5681454912166629,0.16573267058118804,0.10965760730348541,0.4618357487922705,0.207,0.5417298937784522,0.3954
ICEWS14,1,matched_base,0.5869786366650951,0.15604463361456788,0.042459992685350535,0.5101419878296146,0.1972,0.5662217659137577,0.3896
ICEWS14,1,base_plus_c,0.5723292418529834,0.1508530716788745,0.027408536656812116,0.4594871794871795,0.195,0.5468262226847035,0.3844
ICEWS14,1,base_plus_z,0.5499833334606494,0.1428606073955781,0.021710806471187585,0.4119960668633235,0.2034,0.5314401622718052,0.3944
ICEWS14,1,base_plus_fd,0.571641414852156,0.1507422927297113,0.024522577490321367,0.45871559633027525,0.1962,0.5436382754994742,0.3804
ICEWS14,1,without_diversity,0.5518383784081791,0.14314175217842634,0.01975668141493329,0.41427155599603566,0.2018,0.5324937027707809,0.397
ICEWS14,1,without_fragility,0.5489227162718667,0.14284345878873023,0.02521586804827606,0.40421263791374124,0.1994,0.5300101729399797,0.3932
ICEWS14,1,nonredundant,0.551501192978471,0.1432415163050818,0.017697604019661313,0.4230377166156983,0.1962,0.5299188640973631,0.3944
ICEWS14,1,full_original,0.5526282726139897,0.14361134888275504,0.017050393229869024,0.4314516129032258,0.1984,0.5305498981670062,0.3928
ICEWS14,1,base_plus_window_count,0.5748039960544435,0.15267989815938193,0.048980106878731534,0.49793388429752067,0.1936,0.550103305785124,0.3872
ICEWS14,1,base_plus_softmax_entropy,0.580683527837324,0.15440220243247882,0.035789731937019356,0.49803536345776034,0.2036,0.5544554455445545,0.3838
ICEWS14,2,margin_only,0.5681441710378935,0.1655061990390835,0.1111821229785591,0.4616915422885572,0.201,0.5478983382209188,0.4092
ICEWS14,2,matched_base,0.585773282348762,0.1559973603712743,0.037068812606062894,0.5045778229908443,0.1966,0.5575447570332481,0.391
ICEWS14,2,base_plus_c,0.572313034146254,0.15081344998601626,0.02103867817546764,0.45717234262125905,0.1938,0.543046357615894,0.3926
ICEWS14,2,base_plus_z,0.5506589152183478,0.14307282180051456,0.02330688119522925,0.4197886647454371,0.2082,0.5311392405063291,0.395
ICEWS14,2,base_plus_fd,0.5704048717483197,0.15057785881934874,0.021874974092314734,0.45585215605749485,0.1948,0.5451244813278008,0.3856
ICEWS14,2,without_diversity,0.5525304930453964,0.1434535708707895,0.015013558337527811,0.41903827281648676,0.2038,0.5301635991820041,0.3912
ICEWS14,2,without_fragility,0.5489650570866988,0.14266328930488303,0.023467256497941853,0.41194029850746267,0.201,0.5312341289994922,0.3938
ICEWS14,2,nonredundant,0.5505535439626916,0.1430276261308519,0.01910015175187142,0.40886203423967776,0.1986,0.5341708542713568,0.398
ICEWS14,2,full_original,0.5510318322200848,0.14327991953824976,0.018922659065565926,0.4068479355488419,0.1986,0.5331645569620254,0.395
ICEWS14,2,base_plus_window_count,0.5739318332946439,0.15246609187540736,0.03347252844815727,0.4810924369747899,0.1904,0.544579533941236,0.3948
ICEWS14,2,base_plus_softmax_entropy,0.579727685582499,0.1544034839491178,0.029287364854190954,0.4865134865134865,0.2002,0.5547594677584442,0.3908
