dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
GDELT,0,margin_only,0.793209829627816,0.1169903263788567,0.004053970764686672,0.7565130260521042,0.1996,0.7967757694186615,0.4094
GDELT,0,matched_base,0.769322527144292,0.11342102561989142,0.007526626753865458,0.7073662966700303,0.1982,0.7581602373887241,0.4044
GDELT,0,base_plus_c,0.7717162369798363,0.11334820766930925,0.007163381501667877,0.7172827172827173,0.2002,0.7658010779029887,0.4082
GDELT,0,base_plus_z,0.765730321608388,0.11218277032375043,0.009834237120042144,0.7096774193548387,0.1984,0.7684871918801354,0.4138
GDELT,0,base_plus_fd,0.7695227516438339,0.11307956865127651,0.01597205562046356,0.703187250996016,0.2008,0.7670144063586687,0.4026
GDELT,0,without_diversity,0.7656754747431267,0.11217308582235634,0.009040752797580836,0.710261569416499,0.1988,0.7666504618376276,0.4114
GDELT,0,without_fragility,0.7650177299656314,0.11207825886400243,0.01030730412207443,0.7109144542772862,0.2034,0.764934434191355,0.4118
GDELT,0,nonredundant,0.7653638272054981,0.11211549618292975,0.009701745624565614,0.7096456692913385,0.2032,0.7681510164569216,0.4132
GDELT,0,full_original,0.7653948666719254,0.11211716973456246,0.009615982032003555,0.7093596059113301,0.203,0.7680387409200968,0.413
GDELT,0,base_plus_window_count,0.7695079342692867,0.1134257580888451,0.009589085538728167,0.7035532994923858,0.197,0.7635201573254671,0.4068
GDELT,0,base_plus_softmax_entropy,0.7739785490565672,0.1134587104545342,0.008702902844140386,0.7415730337078652,0.1958,0.7667313288069835,0.4124
GDELT,1,margin_only,0.793209829627816,0.1172526057635519,0.009907950504634179,0.7590725806451613,0.1984,0.7966601178781926,0.4072
GDELT,1,matched_base,0.7698214122700693,0.11343010069809972,0.021515608340369124,0.7141491395793499,0.2092,0.7584053794428435,0.4164
GDELT,1,base_plus_c,0.7702165041446667,0.11334221197956568,0.01666215628195433,0.7180487804878048,0.205,0.7622950819672131,0.4148
GDELT,1,base_plus_z,0.7660346530325789,0.11230558784630944,0.01428476839415456,0.7096446700507614,0.197,0.7636887608069164,0.4164
GDELT,1,base_plus_fd,0.76874152519512,0.11310363584817253,0.021729048608423167,0.7098001902949572,0.2102,0.7675205413243112,0.4138
GDELT,1,without_diversity,0.7660016480809075,0.11229700646552976,0.015104612823051883,0.7095141700404858,0.1976,0.766152362584378,0.4148
GDELT,1,without_fragility,0.765166979181786,0.11215485842962965,0.01569141775331862,0.7086614173228346,0.2032,0.7629774730656219,0.4084
GDELT,1,nonredundant,0.7651487296935333,0.11214774485951527,0.016312049029454538,0.7070506454816285,0.2014,0.7633251833740832,0.409
GDELT,1,full_original,0.764940264309968,0.11212420739317618,0.017507443689386143,0.7045454545454546,0.2024,0.7634408602150538,0.4092
GDELT,1,base_plus_window_count,0.7696956375659348,0.11341947760417766,0.02085953956335663,0.7155172413793104,0.2088,0.7592681752527685,0.4154
GDELT,1,base_plus_softmax_entropy,0.7711168631334995,0.11333573216461161,0.017071299220986037,0.722167487684729,0.203,0.7630331753554502,0.422
GDELT,2,margin_only,0.7932099118224127,0.11701296640957622,0.006867046313543134,0.7590725806451613,0.1984,0.7952047952047953,0.4004
GDELT,2,matched_base,0.7701437550901685,0.11364108995842825,0.015135123182262017,0.70703125,0.2048,0.7607178464606181,0.4012
GDELT,2,base_plus_c,0.7714103945745121,0.11353338937098274,0.011105369763493711,0.7122736418511066,0.1988,0.7664015904572564,0.4024
GDELT,2,base_plus_z,0.7667903291723609,0.11243164520884542,0.015265569929371862,0.7083753784056509,0.1982,0.7659057795046139,0.4118
GDELT,2,base_plus_fd,0.7700835873729162,0.11329876609788689,0.02031482468186341,0.7141527001862198,0.2148,0.7694595934556272,0.4034
GDELT,2,without_diversity,0.7668679836613883,0.1124246954201785,0.015582743110110282,0.709452736318408,0.201,0.7690441533236293,0.4122
GDELT,2,without_fragility,0.7660434974409054,0.11231102594603405,0.015742847451403485,0.707631318136769,0.2018,0.7663551401869159,0.4066
GDELT,2,nonredundant,0.7661718301820815,0.11232334357915293,0.01572130852711618,0.7087857847976308,0.2026,0.7670426679744973,0.4078
GDELT,2,full_original,0.7660533197961444,0.11230898909507321,0.015842057470647295,0.7093596059113301,0.203,0.7656019656019656,0.407
GDELT,2,base_plus_window_count,0.7699329545112839,0.11360479968431136,0.014982407628437187,0.707876370887338,0.2006,0.7645,0.4
