dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS05-15,0,margin_only,0.4959560438453623,0.1993440898368879,0.07809882146558506,0.38784067085953877,0.1908,0.46165966386554624,0.3808
ICEWS05-15,0,matched_base,0.5021422291841027,0.18898265035579753,0.034086226632855335,0.4041666666666667,0.192,0.4860335195530726,0.3938
ICEWS05-15,0,base_plus_c,0.48234560383372754,0.1795873474207608,0.034198675909850776,0.3497326203208556,0.187,0.4597107438016529,0.3872
ICEWS05-15,0,base_plus_z,0.4704054310264666,0.17348123371390764,0.01784475786242347,0.33540372670807456,0.1932,0.4299363057324841,0.3768
ICEWS05-15,0,base_plus_fd,0.4784344522468071,0.17798984042150767,0.02896170855409844,0.3448637316561845,0.1908,0.4500775995861355,0.3866
ICEWS05-15,0,without_diversity,0.4700259546268775,0.17338456877885783,0.01807701731739959,0.33543638275499477,0.1902,0.43315789473684213,0.38
ICEWS05-15,0,without_fragility,0.468759671941768,0.1728212308095071,0.016546290971043702,0.34490238611713664,0.1844,0.4293139293139293,0.3848
ICEWS05-15,0,nonredundant,0.4669359487194251,0.17202478804960464,0.01826702795120166,0.3200419727177335,0.1906,0.43343653250773995,0.3876
ICEWS05-15,0,full_original,0.46686314417711056,0.1720714612364577,0.017635975231300317,0.31837606837606836,0.1872,0.43460350154479915,0.3884
ICEWS05-15,0,base_plus_window_count,0.4713860902126391,0.17870323556300483,0.04354435047982068,0.32786885245901637,0.183,0.45902489626556015,0.3856
ICEWS05-15,0,base_plus_softmax_entropy,0.4941217714552716,0.18616636731761513,0.031220588729315584,0.38173817381738173,0.1818,0.47965412004069174,0.3932
ICEWS05-15,1,margin_only,0.49598574166953374,0.19907235637673187,0.08677813223275872,0.38318777292576417,0.1832,0.46198217094913474,0.3814
ICEWS05-15,1,matched_base,0.5009485486525528,0.18875320945270446,0.04489318461830265,0.40796555435952636,0.1858,0.48408624229979463,0.3896
ICEWS05-15,1,base_plus_c,0.48187565156885476,0.1793521148504347,0.02592642580791082,0.35343915343915344,0.189,0.4586967675731144,0.3898
ICEWS05-15,1,base_plus_z,0.46930262123741395,0.17294706052956935,0.0168087638756183,0.33613445378151263,0.1904,0.43427109974424555,0.391
ICEWS05-15,1,base_plus_fd,0.47730728621204305,0.1775396018272429,0.038257759447379754,0.34647302904564314,0.1928,0.4489588623666836,0.3938
ICEWS05-15,1,without_diversity,0.46868544726638117,0.1728709066846587,0.021219439096291058,0.3144385026737968,0.187,0.4335378323108384,0.3912
ICEWS05-15,1,without_fragility,0.46757662070559564,0.17235072345793812,0.019907164817071585,0.3174431202600217,0.1846,0.4279093717816684,0.3884
ICEWS05-15,1,nonredundant,0.46631386546452047,0.1715713450886215,0.01961263837294031,0.31612223393045313,0.1898,0.42849794238683125,0.3888
ICEWS05-15,1,full_original,0.46640043623183974,0.17165721076846416,0.01843184170564748,0.3118279569892473,0.186,0.42930591259640105,0.389
ICEWS05-15,1,base_plus_window_count,0.47455130688783836,0.17933414606137496,0.038906074652718205,0.33940042826552463,0.1868,0.46169457128361235,0.3942
ICEWS05-15,1,base_plus_softmax_entropy,0.49281932995280575,0.18578287736558763,0.03866596733534488,0.38333333333333336,0.18,0.47892518440463644,0.3796
ICEWS05-15,2,margin_only,0.49596409956561577,0.19838966363026703,0.0856471834908352,0.38228941684665224,0.1852,0.45879851143009037,0.3762
