dataset,seed,model,aurc,brier,ece,risk@0.2,coverage@0.2,risk@0.4,coverage@0.4
ICEWS14,0,margin_only,0.5681458602185004,0.16571932866795336,0.11286704502256033,0.46092184368737477,0.1996,0.543728135932034,0.4002
ICEWS14,0,matched_base,0.5859856353453358,0.15573278334835636,0.04343675864568949,0.5042826552462527,0.1868,0.5596184419713831,0.3774
ICEWS14,0,base_plus_c,0.56583625193138,0.14835420845225702,0.02899796651877798,0.44574468085106383,0.188,0.5310199789695058,0.3804
ICEWS14,0,base_plus_z,0.5495149105196552,0.1427255935021847,0.021294991291976786,0.40334378265412746,0.1914,0.5257894736842105,0.38
ICEWS14,0,base_plus_fd,0.5630238650514606,0.1478959647514451,0.023153170625365295,0.44206008583690987,0.1864,0.5326315789473685,0.38
ICEWS14,0,without_diversity,0.5500802384337602,0.14276929166929886,0.01317505938851953,0.39787234042553193,0.188,0.5291060291060291,0.3848
ICEWS14,0,without_fragility,0.5482878640459443,0.1424446116433306,0.021886879303020457,0.395021645021645,0.1848,0.528388746803069,0.391
ICEWS14,0,nonredundant,0.5484162066509616,0.14225167633480193,0.012079372499993213,0.4490022172949002,0.1804,0.5265600825167612,0.3878
ICEWS14,0,full_original,0.5494851637550948,0.14257288029278456,0.015153331277885877,0.46229508196721314,0.183,0.5244536940686785,0.3844
ICEWS14,0,base_plus_window_count,0.5727844455664975,0.15219535518835484,0.04585270151973696,0.47757847533632286,0.1784,0.5462140992167102,0.383
ICEWS14,0,base_plus_softmax_entropy,0.5800860144270573,0.15418738611090857,0.03777210156449722,0.49261603375527424,0.1896,0.5513771186440678,0.3776
ICEWS14,1,margin_only,0.5681454912166629,0.16573267058118804,0.10965760730348541,0.4618357487922705,0.207,0.5417298937784522,0.3954
ICEWS14,1,matched_base,0.5869786366650951,0.15604463361456788,0.042459992685350535,0.5101419878296146,0.1972,0.5662217659137577,0.3896
ICEWS14,1,base_plus_c,0.566219985438565,0.14857487313311754,0.026764567239511827,0.4499494438827098,0.1978,0.5395757889291257,0.3866
ICEWS14,1,base_plus_z,0.5499833334606494,0.1428606073955781,0.021710806471187585,0.4119960668633235,0.2034,0.5314401622718052,0.3944
ICEWS14,1,base_plus_fd,0.5647869761480493,0.14822836022386124,0.026834714964678805,0.44969818913480886,0.1988,0.5364718054837041,0.3866
ICEWS14,1,without_diversity,0.5502722005013293,0.14271445298472107,0.016111405884037894,0.412807881773399,0.203,0.531742001015744,0.3938
ICEWS14,1,without_fragility,0.5489227162718667,0.14284345878873023,0.02521586804827606,0.40421263791374124,0.1994,0.5300101729399797,0.3932
ICEWS14,1,nonredundant,0.5491598998368444,0.1424625883889215,0.01662512139211084,0.41977800201816345,0.1982,0.5283975659229209,0.3944
ICEWS14,1,full_original,0.5499401476154082,0.14269912577143062,0.012990898412069612,0.464247598719317,0.1874,0.5278203164880041,0.3918
ICEWS14,1,base_plus_window_count,0.5748039960544435,0.15267989815938193,0.048980106878731534,0.49793388429752067,0.1936,0.550103305785124,0.3872
ICEWS14,1,base_plus_softmax_entropy,0.580683527837324,0.15440220243247882,0.035789731937019356,0.49803536345776034,0.2036,0.5544554455445545,0.3838
ICEWS14,2,margin_only,0.5681441710378935,0.1655061990390835,0.1111821229785591,0.4616915422885572,0.201,0.5478983382209188,0.4092
ICEWS14,2,matched_base,0.585773282348762,0.1559973603712743,0.037068812606062894,0.5045778229908443,0.1966,0.5575447570332481,0.391
ICEWS14,2,base_plus_c,0.5677855610425293,0.1486056627652226,0.019862414250286932,0.44593202883625127,0.1942,0.5367573011077543,0.3972
ICEWS14,2,base_plus_z,0.5506589152183478,0.14307282180051456,0.02330688119522925,0.4197886647454371,0.2082,0.5311392405063291,0.395
ICEWS14,2,base_plus_fd,0.5643344086572637,0.14808529361988634,0.017495525029797298,0.4408493427704752,0.1978,0.5413032324268856,0.3898
ICEWS14,2,without_diversity,0.5505766337464216,0.1429597401670173,0.013740172307201187,0.4119960668633235,0.2034,0.5300713557594292,0.3924
ICEWS14,2,without_fragility,0.5489650570866988,0.14266328930488303,0.023467256497941853,0.41194029850746267,0.201,0.5312341289994922,0.3938
ICEWS14,2,nonredundant,0.5478970347607688,0.14220757660606367,0.019068848786966953,0.4010152284263959,0.197,0.53420523138833,0.3976
ICEWS14,2,full_original,0.5481115096180772,0.1423434209907436,0.021331874947197696,0.4090909090909091,0.198,0.5356425702811245,0.3984
ICEWS14,2,base_plus_window_count,0.5739318332946439,0.15246609187540736,0.03347252844815727,0.4810924369747899,0.1904,0.544579533941236,0.3948
ICEWS14,2,base_plus_softmax_entropy,0.579727685582499,0.1544034839491178,0.029287364854190954,0.4865134865134865,0.2002,0.5547594677584442,0.3908
