dataset,edit,feature,n,survival_auroc,survival_spearman
ICEWS14,event,certificate,3653,0.8766850152230508,0.7675954819338418
ICEWS14,event,counter_evidence_cost,3653,0.6576711857800527,0.270109140823063
ICEWS14,event,margin,3653,0.9372565476278025,0.7490738416690077
ICEWS14,event,support,3653,0.9066394625110925,0.7151339491405116
ICEWS14,event,diversity,3653,0.8650535380723352,0.6523726420855047
ICEWS14,event,window_count,3653,0.876835774904764,0.7690976814306814
ICEWS14,window,certificate,3653,0.9976630053750877,0.9561707814570153
ICEWS14,window,counter_evidence_cost,3653,0.6919050022025657,0.309969731892571
ICEWS14,window,margin,3653,0.9193209479512002,0.677299747302732
ICEWS14,window,support,3653,0.8946622077636478,0.6544092940605716
ICEWS14,window,diversity,3653,0.9214161429110129,0.7100621952294214
ICEWS14,window,window_count,3653,0.9978325925956565,0.9579850838932539
ICEWS14,counter,certificate,3653,0.8713727029686242,0.7278212387492475
ICEWS14,counter,counter_evidence_cost,3653,0.6479723842746731,0.24379696770621787
ICEWS14,counter,margin,3653,0.9999304306343733,0.8236800801927194
ICEWS14,counter,support,3653,0.9091588069847643,0.6920388198297295
ICEWS14,counter,diversity,3653,0.8705413490493843,0.6368490962927595
ICEWS14,counter,window_count,3653,0.8750090274533968,0.7360914598330895
ICEWS05-15,event,certificate,4368,0.9053445901266495,0.8008386099018874
ICEWS05-15,event,counter_evidence_cost,4368,0.6272934417736821,0.2199856350006616
ICEWS05-15,event,margin,4368,0.8742044923281682,0.646691746403036
ICEWS05-15,event,support,4368,0.8527054631528849,0.6157647940640484
ICEWS05-15,event,diversity,4368,0.8649573342543182,0.640538399442249
ICEWS05-15,event,window_count,4368,0.9055872963058119,0.8025988363449914
ICEWS05-15,window,certificate,4368,0.9982029229067961,0.9570167016580771
ICEWS05-15,window,counter_evidence_cost,4368,0.6747454196476864,0.29362073281930606
ICEWS05-15,window,margin,4368,0.8487726322111422,0.5860347164383483
ICEWS05-15,window,support,4368,0.8421431397411782,0.5807686011881982
ICEWS05-15,window,diversity,4368,0.884386592339065,0.6559397186299422
ICEWS05-15,window,window_count,4368,0.9985024357556634,0.9591225252819021
ICEWS05-15,counter,certificate,4368,0.8794516714448543,0.7019416782017766
ICEWS05-15,counter,counter_evidence_cost,4368,0.5495324902744766,0.08014979091281729
ICEWS05-15,counter,margin,4368,0.999985106947729,0.809038756986731
ICEWS05-15,counter,support,4368,0.8719629883630013,0.6080318566113245
ICEWS05-15,counter,diversity,4368,0.8958336686271848,0.6504886803445582
ICEWS05-15,counter,window_count,4368,0.8622093602833524,0.6711163027221677
GDELT,event,certificate,4981,0.8033156069993501,0.58807043511757
GDELT,event,counter_evidence_cost,4981,0.8945511937205908,0.6652761414425858
GDELT,event,margin,4981,0.993045390983046,0.8313530459999743
GDELT,event,support,4981,0.8317745387240442,0.5596952065959315
GDELT,event,diversity,4981,0.7803459697257351,0.47291951763296525
GDELT,event,window_count,4981,0.8033156069993501,0.5898179057909427
GDELT,window,certificate,4981,0.9997305158636905,0.959941257372822
GDELT,window,counter_evidence_cost,4981,0.9034115131941512,0.6739397529497416
GDELT,window,margin,4981,0.9578724374744814,0.76492224106135
GDELT,window,support,4981,0.8313226004127353,0.5537755707955677
GDELT,window,diversity,4981,0.8483698549326169,0.582247573429703
GDELT,window,window_count,4981,0.9997305158636905,0.9627937544467213
GDELT,counter,certificate,4981,0.8123772452420924,0.6148191803505108
GDELT,counter,counter_evidence_cost,4981,0.8799575259045761,0.6503798333654698
GDELT,counter,margin,4981,0.9999995873096053,0.8558578986532602
GDELT,counter,support,4981,0.8433966235322666,0.5880821294134921
GDELT,counter,diversity,4981,0.7892311743022643,0.4953035605746096
GDELT,counter,window_count,4981,0.8136178751066805,0.6190951925867055
